mst,client_type
5600101464,Công ty tư nhân
5600217860,Công ty tư nhân
5600187020,Công ty cổ phần
0100103785-004,Công ty tư nhân
5600101136,Công ty cổ phần
5600285677,Công ty cổ phần
3200042556-022,Công ty tư nhân
3200292563,Công ty TNHH
3200316856,Công ty tư nhân
4500605674,Công ty TNHH
4500607512,Công ty TNHH
3400253480,Công ty tư nhân
4201219374-002,Công ty TNHH
4500591245,Công ty TNHH
4500598145,Công ty TNHH
4500103716,Công ty TNHH
4500607350,Công ty TNHH
4800167012,Công ty TNHH
5600272477,Công ty tư nhân
5600173028,Công ty TNHH
5600170965,Công ty TNHH
5600312923,Công ty TNHH
5600167497,Công ty TNHH
5600167352,Công ty TNHH
5600200923,Công ty TNHH
5600296982,Công ty tư nhân
5600179728,Công ty tư nhân
5600235789,Công ty cổ phần
5600312313,Công ty TNHH
6300048638,Công ty tư nhân
2901804793,Công ty cổ phần
0300608092,Công ty TNHH
0300588569,Công ty cổ phần
0303217354,Công ty cổ phần
0103586749,Công ty nhà nước
0104918404,Công ty cổ phần
0107861393,Công ty TNHH
0102900049-001,Công ty cổ phần
0102516308,Công ty cổ phần
0316242421,Công ty TNHH
0105398885,Công ty cổ phần
0108926276,Công ty TNHH
5500154896,Công ty cổ phần
0106568240,Công ty TNHH
2500175548-006,Công ty TNHH
5200447482,Công ty cổ phần
5200796645,Công ty TNHH
5200352632,Công ty TNHH
5200148838,Công ty nhà nước
0100110768-054,Công ty cổ phần
5200218884,Công ty cổ phần
5200362944,Công ty TNHH
5200800796,Công ty cổ phần
5200578982,Công ty cổ phần
5200907595,Công ty tư nhân
5200792739,Công ty nhà nước
5200862055,Công ty TNHH
5200289155,Công ty nhà nước
5200324258,Công ty TNHH
5200354164,Công ty nhà nước
5200888173,Công ty TNHH
5200794197,Công ty TNHH
3500101033,Công ty nhà nước
3502280028,Công ty TNHH
0300523272-001,Công ty TNHH
3500634151,Công ty TNHH
3500102573-049,Công ty tư nhân
0100150577-027,Công ty cổ phần
3500455057-001,Công ty cổ phần
5300698987,Công ty TNHH
3500585257,Công ty nhà nước
3500287250-003,Công ty nhà nước
5032229769,Công ty tư nhân
3502316958,Công ty nhà nước
3502312248,Công ty tư nhân
0700504669,Công ty cổ phần
0700851327,Công ty TNHH
0700207546,Công ty Liên doanh
0700244202,Công ty TNHH
0700245767,Công ty TNHH
5400326284,Công ty TNHH
009-0000005448,Công ty TNHH
5400448388,Công ty TNHH
5400476339,Công ty TNHH
5400312242,Công ty TNHH
0105132028,Công ty TNHH
3600224423-004,Công ty cổ phần
5400206847,Công ty cổ phần
5400415287,Công ty TNHH
5400429138,Công ty TNHH
5400316550,Công ty TNHH
4100266674,Công ty tư nhân
4100970288,Công ty tư nhân
4101456357,Công ty TNHH
4100446878,Công ty TNHH
4100267283,Công ty TNHH
4100300283,Công ty tư nhân
4101182730,Công ty TNHH
4100568234,Công ty TNHH
4100627264,Công ty TNHH
4100482964,Công ty TNHH
4100532943,Công ty TNHH
0100111948-007,Công ty cổ phần
6100772089,Công ty nhà nước
6100246537,Công ty nhà nước
6100468522,Công ty nhà nước
6101162720,Công ty nhà nước
6100238208,Công ty nhà nước
6101162992,Công ty nhà nước
6100223152,Công ty nhà nước
6101211294,Công ty nhà nước
6100219290,Công ty nhà nước
6100390033,Công ty nhà nước
6100522106,Công ty nhà nước
6100332994,Công ty nhà nước
6100254954,Công ty nhà nước
6100186334,Công ty nhà nước
0106869738-050,Công ty nhà nước
6100399942,Công ty nhà nước
6100255884,Công ty nhà nước
6101179523,Công ty nhà nước
6100344206,Công ty nhà nước
6100102101,Công ty nhà nước
6100423627,Công ty nhà nước
6100143450-004,Công ty nhà nước
6100302534,Công ty nhà nước
6100302365,Công ty nhà nước
6100300600,Công ty nhà nước
6100302340,Công ty nhà nước
6100470401,Công ty nhà nước
6100300738,Công ty nhà nước
6100300488,Công ty nhà nước
6100594654,Công ty nhà nước
6100300752,Công ty nhà nước
6100641907,Công ty nhà nước
6100424878,Công ty nhà nước
6101140452,Công ty nhà nước
6100187306,Công ty nhà nước
6100473113,Công ty nhà nước
6101180078,Công ty nhà nước
6100104839,Công ty nhà nước
0100686174-782,Công ty nhà nước
2600108471,Công ty cổ phần
2600110110,Công ty TNHH
2600116881-002,Công ty cổ phần
2600147304,Công ty tư nhân
2600171843,Công ty tư nhân
2600194706,Công ty TNHH
2600202516,Công ty TNHH
5500115537,Công ty nhà nước
1500438876,Công ty TNHH
1500441413,Công ty TNHH
1500444076,Công ty TNHH
1500444083,Công ty TNHH
1500450922,Công ty TNHH
1500456787,Công ty TNHH
1500463865,Công ty Liên doanh
1500465319,Công ty TNHH
1500465534,Công ty TNHH
1500467732,Công ty TNHH
1500467764,Công ty TNHH
1500468542,Công ty TNHH
1500473461,Công ty TNHH
1500476705,Công ty cổ phần
1500478910,Công ty TNHH
1500480652,Công ty TNHH
1500489359,Công ty cổ phần
1500492305,Công ty cổ phần
1500495352,Công ty TNHH
1500496684,Công ty TNHH
1500496902,Công ty cổ phần
1500498480,Công ty cổ phần
1500498515,Công ty TNHH
1500499389,Công ty nhà nước
1500503204,Công ty cổ phần
1500508033,Công ty TNHH
1500508474,Công ty TNHH
1500509742,Công ty TNHH
1500511621,Công ty TNHH
1500515841,Công ty cổ phần
1500519902,Công ty TNHH
1500523560,Công ty cổ phần
1500524469,Công ty cổ phần
1500525800,Công ty TNHH
1500531346,Công ty TNHH
1500555227,Công ty TNHH
1500556051,Công ty TNHH
1500557915,Công ty TNHH
1500564091,Công ty TNHH
1500583175,Công ty TNHH
1500602043,Công ty TNHH
1500608197,Công ty TNHH
1500614909,Công ty TNHH
1500626358,Công ty TNHH
1500644484,Công ty TNHH
1500658134,Công ty TNHH
1500659321,Công ty TNHH
1500660824,Công ty TNHH
1500661232,Công ty TNHH
1500663039,Công ty TNHH
1500668679,Công ty TNHH
1500671544,Công ty TNHH
1500672763,Công ty TNHH
1500690963,Công ty TNHH
1500691798,Công ty TNHH
1500701661,Công ty TNHH
1500704045,Công ty TNHH
1500704327,Công ty TNHH
1500714050,Công ty TNHH
1500714357,Công ty TNHH
1500719683,Công ty TNHH
1500739182,Công ty TNHH
1500744094,Công ty TNHH
1500829809,Công ty TNHH
1500873195,Công ty TNHH
0303213215-002,Công ty nhà nước
3501941596,Công ty TNHH
0300942001-026,Công ty nhà nước
0313310810,Công ty cổ phần
0310733906-001,Công ty cổ phần
3502356936,Công ty TNHH
3502330455,Công ty TNHH
3500408480,Công ty nhà nước
0102100878-001,Công ty nhà nước
0900269902,Công ty tư nhân
0900851564,Công ty tư nhân
0900212920,Công ty tư nhân
0900624642,Công ty tư nhân
3200042669,Công ty cổ phần
3200153129,Công ty TNHH
3200203700,Công ty TNHH
3200158945,Công ty TNHH
3200345423,Công ty TNHH
3200480214,Công ty tư nhân
3200094610-001,Công ty TNHH
3200094610,Công ty TNHH
4660011742-002,Công ty tư nhân
3200568684,Công ty TNHH
3200193178,Công ty tư nhân
3200574455,Công ty TNHH
3200476345,Công ty cổ phần
3200579502,Công ty TNHH
4900101738,Công ty tư nhân
2400112897-002,Công ty nhà nước
4900266031-021,Công ty nhà nước
0700185934-001,Công ty TNHH
0700708905,Công ty TNHH
0700193124,Công ty cổ phần
0700224439,Công ty TNHH
0700251217,Công ty tư nhân
0700244058,Công ty TNHH
0700221879,Công ty TNHH
0102109239,Công ty TNHH
0100686174-704,Công ty nhà nước
5701662152-009,Công ty cổ phần
1500429007-002,Công ty TNHH
2100190904-022,Công ty TNHH
2100606045,Công ty TNHH
1400470587-006,Công ty TNHH
2100637406,Công ty TNHH
