name,url
Leading Pharma,https://www.drugs.com/manufacturer/leading-pharma-llc-584.html
LEO Pharma,https://www.drugs.com/manufacturer/leo-pharma-inc-547.html
Lexicon Pharmaceuticals,https://www.drugs.com/manufacturer/lexicon-pharmaceuticals-inc-592.html
Libertas Pharma,https://www.drugs.com/manufacturer/libertas-pharma-447.html
Loxo Oncology,https://www.drugs.com/manufacturer/loxo-oncology-inc-634.html
Luitpold Pharmaceuticals,https://www.drugs.com/manufacturer/luitpold-pharmaceuticals-inc-82.html
Lundbeck,https://www.drugs.com/manufacturer/lundbeck-inc-83.html
Lupin Pharmaceuticals,https://www.drugs.com/manufacturer/lupin-pharmaceuticals-inc-84.html
Macleods Pharmaceuticals Limited,https://www.drugs.com/manufacturer/macleods-pharmaceuticals-limited-491.html
Major Pharmaceuticals,https://www.drugs.com/manufacturer/major-pharmaceuticals-189.html
Mallinckrodt,https://www.drugs.com/manufacturer/mallinckrodt-inc-85.html
Marathon Pharmaceuticals,https://www.drugs.com/manufacturer/marathon-pharmaceuticals-llc-536.html
Martin Ekwealor Pharmceuticals,https://www.drugs.com/manufacturer/martin-ekwealor-pharmceuticals-inc-161.html
Mayne Pharma US,https://www.drugs.com/manufacturer/mayne-pharma-us-635.html
McNeil Consumer Healthcare,https://www.drugs.com/manufacturer/mcneil-consumer-healthcare-481.html
MCR American Pharmaceuticals,https://www.drugs.com/manufacturer/mcr-american-pharmaceuticals-inc-280.html
Mead Johnson & Company,https://www.drugs.com/manufacturer/mead-johnson-amp-company-llc-527.html
Meda U.S.,https://www.drugs.com/manufacturer/meda-u-s-87.html
Medac Pharma,https://www.drugs.com/manufacturer/medac-pharma-inc-517.html
Medicis Pharmaceutical Corporation,https://www.drugs.com/manufacturer/medicis-pharmaceutical-corporation-88.html
Medicure,https://www.drugs.com/manufacturer/medicure-inc-530.html
Medimetriks Pharmaceuticals,https://www.drugs.com/manufacturer/medimetriks-pharmaceuticals-inc-614.html
MedImmune,https://www.drugs.com/manufacturer/medimmune-inc-90.html
MediQuest Therapeutics,https://www.drugs.com/manufacturer/mediquest-therapeutics-inc-89.html
Melinta Therapeutics,https://www.drugs.com/manufacturer/melinta-therapeutics-600.html
Merck,https://www.drugs.com/manufacturer/merck-91.html
Merck Consumer Care,https://www.drugs.com/manufacturer/merck-consumer-care-512.html
Merrimack Pharmaceuticals,https://www.drugs.com/manufacturer/merrimack-pharmaceuticals-inc-550.html
Molnlycke Healthcare,https://www.drugs.com/manufacturer/molnlycke-healthcare-524.html
Morton Grove Pharmaceuticals,https://www.drugs.com/manufacturer/morton-grove-pharmaceuticals-inc-92.html
Motif Bio,https://www.drugs.com/manufacturer/motif-bio-plc-564.html
Mylan Pharmaceuticals,https://www.drugs.com/manufacturer/mylan-pharmaceuticals-inc-93.html
Nagase America Corp.,https://www.drugs.com/manufacturer/nagase-america-corp-94.html
Napo Pharmaceuticals,https://www.drugs.com/manufacturer/napo-pharmaceuticals-inc-572.html
Neos Therapeutics,https://www.drugs.com/manufacturer/neos-therapeutics-inc-560.html
Nestle Healthcare Nutrition,https://www.drugs.com/manufacturer/nestle-healthcare-nutrition-inc-645.html
Neurocrine Biosciences,https://www.drugs.com/manufacturer/neurocrine-biosciences-inc-95.html
NeurogesX,https://www.drugs.com/manufacturer/neurogesx-inc-96.html
New Haven Pharmaceuticals,https://www.drugs.com/manufacturer/new-haven-pharmaceuticals-inc-541.html
Newron Pharmaceuticals US,https://www.drugs.com/manufacturer/newron-pharmaceuticals-us-inc-594.html
Nicox Ophthalmics,https://www.drugs.com/manufacturer/nicox-ophthalmics-inc-597.html
Nivagen Pharmaceuticals,https://www.drugs.com/manufacturer/nivagen-pharmaceuticals-inc-562.html
NorthStar Rx,https://www.drugs.com/manufacturer/northstar-rx-llc-187.html
Nostrum Laboratories,https://www.drugs.com/manufacturer/nostrum-laboratories-inc-314.html
