,mck,ten_cong_ty,mst,cong_ty_con,doanh_thu_2020,doanh_thu_2021
1267,SKH,CTCP Nước giải khát Sanest Khánh Hòa,4201675916.0,Công ty TNHH MTV Sanest Khánh Hòa,"1,698,197","1,793,362"
1268,SKN,CTCP Nước giải khát Sanna Khánh Hòa,4201675930.0,,"88,669","61,808"
1269,SKV,CTCP Nước giải khát Yến sào Khánh Hòa,4201624478.0,"Công ty TNHH MTV Cung ứng Vật tư Nguyên liệu Khánh Hòa, Công ty TNHH MTV Nhà máy Nước giải khát cao cấp Yến sào Khánh Hòa, Công ty TNHH MTV Yến sào Sanvinest Việt Nam, Công ty TNHH MTV Yến sào Sanvinest Khánh Hòa","1,841,593","1,751,752"
1270,SLS,CTCP Mía Đường Sơn La,5500155321.0,,"801,137","868,975"
1271,SMA,CTCP Thiết bị Phụ tùng Sài Gòn,300542187.0,,"73,693","81,728"
1272,SMB,CTCP Bia Sài Gòn - Miền Trung,4100739909.0,,"399,184","347,695"
1273,SMC,CTCP Đầu tư Thương mại SMC,303522206.0,"Công ty TNHH Thép SMC, Công ty TNHH Gia công Thép SMC Phú Mỹ, Công ty TNHH MTV Cơ khí Thép SMC, Công ty TNHH MTV SMC Tân Tạo, Công ty TNHH Cơ khí chính xác SMC Phú Mỹ, Công ty TNHH MTV Thương mại SMC, Công ty TNHH MTV SMC Đà Nẵng, Công ty TNHH Liên doanh Ống thép Sendo (Liên doanh SMC - Hanwa), Công ty TNHH SMC - Summit, Công ty TNHH Hanwa SMC Steel Service Hà Nội, Công ty TNHH SMC - TOAMI, Công ty TNHH VSSC Steel Center","15,734,958","21,315,015"
1274,SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam,309902130.0,"CTCP Sách và Thiết bị Thực hành Bà Rịa - Vũng Tàu, CTCP Sách - Thiết bị Giáo dục Bình Dương","468,660","467,515"
1275,SMT,CTCP Sametel,3600850734.0,,"356,186","400,362"
1276,SNC,CTCP Xuất nhập khẩu Thủy sản Năm Căn,2000104323.0,,"535,612","704,367"
1277,SNZ,Tổng Công ty cổ phần Phát triển Khu Công nghiệp,3600335363.0,"CTCP Môi trường Sonadezi, CTCP Cấp nước Đồng Nai, CTCP Phát triển Đô thị Công nghiệp số 2, CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai, CTCP Sonadezi Long Thành, CTCP Cảng Đồng Nai, CTCP Sonadezi Châu Đức, CTCP Sonadezi Giang Điền, CTCP Sonadezi Long Bình, CTCP Sonadezi Bình Thuận, Trường Cao đẳng Công nghệ và Quản trị Sonadezi, CTCP Xây dựng Đồng Nai, CTCP Sonadezi An Bình, CTCP Kinh doanh Nhà Đồng Nai, CTCP Sơn Đồng Nai, CTCP Dịch vụ Sonadezi","4,974,919","5,187,424"
1278,SP2,CTCP Thủy điện Sử Pán 2,5300226455.0,CTCP Xây lắp Sông Đà - Hoàng Liên,"213,161","181,574"
1279,SPB,CTCP Sợi Phú Bài,3300352720.0,CTCP Sợi Đông Phú,"718,019","1,125,180"
1280,SPC,CTCP Bảo vệ Thực vật Sài Gòn,300632232.0,"Công ty TNHH Bảo Vệ Thực Vật Sài Gòn - Lào, CTCP Bảo vệ thực vật Sài Gòn - Cambodia, CTCP Thương mại Mộc Hoá","1,138,126","1,111,476"
1281,SPD,CTCP Xuất nhập khẩu Thủy sản Miền Trung,400100778.0,CTCP Đầu tư New City Seadanang,"708,782","858,642"
1282,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội,100102848.0,,"133,063","151,910"
1283,SPI,CTCP Spiral Galaxy,2801330959.0,Cam Ranh Riviera Resort,"120,117","16,150"
1284,SPM,CTCP SPM,302271207.0,CTCP Dược phẩm Ánh Sao Việt,"609,994","709,890"
1285,SPP,CTCP Bao bì Nhựa Sài Gòn,302272627.0,,"1,104,848","255,350"
1286,SPV,CTCP Thủy Đặc sản,302598530.0,,"379,331","441,177"
1287,SQC,CTCP Khoáng sản Sài Gòn - Quy Nhơn,4100624513.0,CTCP Dịch vụ Bưu chính Viễn thông Sài Gòn,"10,944",558
1288,SRA,CTCP Sara Việt Nam,101476469.0,"CTCP Phòng khám Healthcare Hậu Giang, CTCP Phòng khám Healthcare Sóc Trăng, CTCP Phòng khám Tân Triều, CTCP Phòng khám Việt Nam-Osaka, CTCP Sản xuất Thiết bị Công nghệ cao Lạng Sơn OSAKA, CTCP đầu tư kỹ thuật cao Cần Thơ, CTCP Sản xuất Thiết bị Công nghệ cao Hạ Long OSAKA, CTCP Sản xuất phần mềm Y tế Việt","193,721","108,946"
1289,SRB,CTCP Tập đoàn Sara,2900556890.0,"CTCP Đầu tư & Phát triển Công nghệ Sara, CTCP Borsmi, CTCP đầu tư Chứng khoán Sara, CTCP Sara Media, CTCP Sara Window, CTCP Vinaken, CTCP Thương mại Hải Đăng, CTCP THương mại Hải đăng",44,"1,262"
1290,SRC,CTCP Cao su Sao Vàng,100100625.0,"CTCP Sao Vàng Hoành Sơn, Công ty TNHH Sao Vàng Hoành Sơn, Công ty CP Philips Car - bon Black","1,349,273","955,715"
1291,SRF,CTCP Searefico,301825452.0,"CTCP Kỹ Thuật Và Xây Dựng SEAREFICO, CTCP Bất động sản SEAREAL, CTCP Kỹ nghệ lạnh Á Châu (ARICO), CTCP Cơ Điện Lạnh SEAREE, CTCP GREENPAN, CTCP PHOENIX ENERGY & AUTOMATION, CTCP Xây lắp Thừa Thiên Huế (HCC)","1,486,297","930,440"
1292,SRT,CTCP Vận tải Đường sắt Sài Gòn,301120371.0,,"1,252,494","893,580"
1293,SSB,Ngân hàng TMCP Đông Nam Á,200253985.0,"Công ty tài chính TNHH MTV Bưu điện (PTF), Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank","3,061,716","5,186,093"
1294,SSC,CTCP Giống cây trồng Miền Nam,302634683.0,CTCP Cơ khí giống cây trồng Miền Nam,"450,502","310,442"
1295,SSF,CTCP Giáo dục G Sài Gòn,301480913.0,,"6,791","4,989"
1296,SSG,CTCP Vận tải biển Hải Âu,302020027.0,,"26,499","29,267"
1297,SSI,CTCP Chứng khoán SSI,301955155.0,CTCP Tập đoàn PAN,"2,007,560","1,629,086"
1298,SSM,CTCP Chế tạo kết cấu Thép Vneco.SSM,400474004.0,,"243,068","160,106"
1299,SSN,CTCP Xuất nhập khẩu Thủy sản Sài Gòn,301261975.0,công ty TNHH MTV thủy sản Phú Viên,"40,432","16,142"
1300,ST8,CTCP Siêu Thanh,302563707.0,"CTCP Thiết bị Văn Phòng Siêu Thanh, CTCP Nam Thanh Sài Gòn, CTCP Ô Tô Kim Thanh","1,141,547","784,648"
1301,STB,Ngân hàng TMCP Sài Gòn Thương Tín,301103908.0,"Ngân hàng Sài Gòn Thương Tín Campuchia, NH TNHH Sài gòn Thương Tín Lào, Công ty TNHH Quản lý nợ và khai thác tài sản NH Sài Gòn Thương Tín, Công ty TNHH MTV Cho thuê tài chính Ngân hàng Sài Gòn thương tín, Công ty TNHH Vàng bạc đá quý Ngân hàng Sài Gòn Thương Tín, Công ty TNHH MTV Kiều hối Ngân hàng Sài Gòn Thương Tín","11,526,554","11,964,487"
1302,STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh,301325347.0,CTCP Giáo dục An Đông,"58,082","115,422"
1303,STG,CTCP Kho vận Miền Nam,300645369.0,"Công ty TNHH MTV Đầu tư Hạ tầng Sotrans (“SII”), Công ty TNHH MTV Sotrans Logistics, CTCP Cảng Miền Nam, Tổng CTCP Đường sông Miền Nam, CTCP Vận tải Đa Phương Thức Viettranstimex, CTCP Xây lắp Công trình (ECCO), CTCP Đóng mới và Sửa chữa Phương tiện thủy Cần Thơ, CTCP Phát triển Bất động sản The Pier, CTCP Xây dựng Công Trình và Thương mại 747, CTCP Dịch vụ Xây dựng và Cơ khí Đường thủy Miền Nam, Công ty Liên doanh Phát triển Tiếp vận số 1, CTCP Dịch vụ Tổng hợp Đường thủy Miền Nam, CTCP Cảng Đồng Nai","737,107","686,821"
1304,STH,CTCP Phát hành Sách Thái Nguyên,4600346889.0,,"22,230","26,962"
1305,STK,CTCP Sợi Thế Kỷ,302018927.0,"Công ty TNHH MTV Sợi, Dệt Nhuộm UNITEX","640,068","529,543"
