,mck,ten_cong_ty,mst,cong_ty_con,doanh_thu_2020,doanh_thu_2021
1205,TVP,CTCP Dược phẩm TV.Pharm,2100274872.0,Dược phẩm công nghệ cao,"525,926","760,172"
1206,TVS,CTCP Chứng khoán Thiên Việt,103014996.0,CTCP Quản lý Quỹ Thiên Việt,"635,319","1,042,046"
1207,TVT,Tổng Công ty Việt Thắng - CTCP,301445210.0,"CTCP Nguyên phụ liệu Dệt may Bình An, CTCP May Việt Thắng, Công ty TNHH Việt Thắng - Luch I, CTCP Dệt may Thành phố Hồ Chí Minh","1,857,172","1,475,835"
1208,TA3,CTCP Đầu tư và Xây lắp Thành An 386,100598520.0,,"160,833","166,561"
1209,TA6,CTCP Đầu tư và Xây lắp Thành An 665,100385603.0,,"425,996","213,611"
1210,TA9,CTCP Xây lắp Thành An 96,400100545.0,,"1,468,354","1,226,156"
1211,TAG,CTCP Thế Giới Số Trần Anh,101217009.0,,"129,263","128,584"
1212,TAN,CTCP Cà phê Thuận An,6000173846.0,,"299,541","13,752"
1213,TAR,CTCP Nông nghiệp Công nghệ cao Trung An,1800241736.0,"CTCP Công nghệ cao Trung An Kiên Giang, Công ty TNHH Novatech - Trung Hưng, Công ty TNHH Sản xuất Chế biến Kinh doanh Xuất khẩu Gạo Việt Đức","2,712,551","3,120,241"
1214,TAW,CTCP Cấp nước Trung An,310350082.0,,"207,893","261,325"
1215,TB8,CTCP Sản xuất và Kinh doanh Vật tư Thiết bị - VVMI,101854047.0,,"263,776","307,191"
1216,TBC,CTCP Thủy điện Thác Bà,5200240495.0,"CTCP Thủy điện Mường Hum, CTCP Đầu tư Thủy điện Thác Bà 2","533,011","495,240"
1217,TBD,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,100101322.0,"Công ty TNHH MTV Thiết bị lưới điện - EEMC, Công ty TNHH MTV Thiết kế và Chế tạo Thiết bị điện - EEMC","2,422,137","2,116,604"
1218,TBR,CTCP Địa ốc Tân Bình,303240995.0,,"29,737","18,172"
1219,TBT,CTCP Xây dựng Công trình Giao thông Bến Tre,1300403675.0,"CT TNHH MTV Thương mại và Sản xuất Bê tông nhựa nóng, CT TNHH MTV Sản xuất -Xây dựng công trình, CT TNHH MTV Sản xuất - Xây dựng cầu đường, CT TNHH MTV Đóng tàu và Sản xuất - gia công cơ khí","8,754","10,349"
1220,TBX,CTCP Xi măng Thái Bình,1000283494.0,,"20,498","18,084"
1221,TC6,CTCP Than Cọc Sáu - Vinacomin,5700101002.0,"CT Bảo hiểm - TKV, CTCP Cơ khí Hòn Gai - TKV, CTCP Nhiệt điện Cẩm Phả TKV, CTCP KD Than Cẩm Phả - TKV, CTCP Đưa đón thợ mỏ - TKV","3,124,086","2,675,815"
1222,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,100230800.0,"Công ty TNHH MTV Quản lý nợ và khai thác tài sản, CTCP Chứng khoán Kỹ thương, CTCP Quản lý Quỹ Kỹ thương","18,751,209","26,698,613"
1223,TCD,CTCP Đầu tư Phát triển Công nghiệp và Vận tải,300482393.0,"CTCP TCD Plus, CTCP Xuất khẩu Lao động Tracodi, CTCP Tracodi Trading & Consulting, CTCP Life Purity, Công ty TNHH Liên doanh Khai thác Chế biến VLXD An Giang, CTCP BCG LAND, Công ty Taxi Việt Nam, CTCP 3K Plus Việt Nam","2,852,633","3,111,846"
1224,TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,200117929.0,"CTCP Đầu tư Tô Hiệu, CTCP Phát triển Nhà Đại Lộc, CTCP Xây dựng Địa ốc Thịnh Phát, CTCP Xây dựng Thịnh Hiệp, CTCP Tập đoàn Bất động sản CRV, CTCP Đầu tư Dịch vụ Hoàng Huy","4,419,421","2,755,985"
1225,TCI,CTCP Chứng khoán Thành Công,305477911.0,,"143,902","316,957"
1226,TCJ,CTCP Tô Châu,1400521150.0,,"90,703","50,901"
