STT,Tên HO,Ngành nghề,Địa chỉ HO,MST,TTP,MCK,url
161,Ngân hàng TNHH Một thành viên HSBC (Việt Nam),,"Tầng 1,2,3,6 Tòa nhà Metropolitan, 235 Đồng Khởi, phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh",0301232798,TP Hồ Chí Minh,,
162,Ngân hàng TMCP á châu,,"442 Nguyễn Minh Khai, Phường 5, Quận 3, TP. Hồ Chí Minh",0301452948,TP Hồ Chí Minh,ACB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ACB
163,Ngân hàng Thương Mại Cổ Phần Nam á,,"201-203 Cách mạng tháng tám, Phường 4, Quận 3, Tp Hồ Chí Minh, VN",0300872315,TP Hồ Chí Minh,NAB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NAB
164,Ngân hàng TMCP Sài Gòn Thương Tín,,"266-268 Nam Kỳ Khởi Nghĩa, P8, Q3, Tp.Hồ Chí Minh",0301103908,TP Hồ Chí Minh,STB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=STB
165,Công ty Cổ phần VNG,,"Z06 đường số 13, phường Tân Thuận Đông, quận 7, thành phố Hồ Chí Minh, Việt nam",0303490096,TP Hồ Chí Minh,,
166,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN,,Số 187 Nguyễn Chí Thanh - Phường 12 - Quận 5 - TP. Hồ Chí Minh,0300583659,TP Hồ Chí Minh,SAB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SAB
167,CÔNG TY CP DU LỊCH VÀ TIẾP THỊ GIAO THÔNG VẬN TẢI VIỆT NAM - VIETRAVEL,,190 Pasteur - Phường 6 - Quận 3 - TP. Hồ Chí Minh,0300465937,TP Hồ Chí Minh,VTR,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VTR
168,CÔNG TY CP KINH DOANH KHÍ MIỀN NAM,,Tầng 4 - tòa nhà PetroVietnam - 1 - 5 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,0305097236,TP Hồ Chí Minh,PGS,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PGS
169,CÔNG TY CP ĐẠI TÂN VIỆT,,145 Tôn Thất Đạm - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,0302505776,TP Hồ Chí Minh,,
170,Tổng công ty Cảng Hàng không,,"58 Trường Sơn, Phường 2, Quận Tân Bình, TP. Hồ Chí Minh",0301081852,TP Hồ Chí Minh,,
171,Tổng Công ty Cảng hàng không Việt Nam,,"Tòa nhà Tổng công ty Cảng hàng không Việt Nam, 58 Trường Sơn - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh",0311638525,TP Hồ Chí Minh,ACV,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ACV
172,Công Ty TNHH Schindler Việt Nam,,"Lầu 8, Tòa nhà President Place 93 đường Nguyễn Du, P. Bến Nghé Q.1, Tp. Hồ Chí Minh",0300798220,TP Hồ Chí Minh,,
173,Công ty Cổ phần Công Nghệ - Viễn Thông Sài Gòn,,Lô 46 Công viên phần mềm Quang Trung-Phường Tân Chánh Hiệp-Quận 12-TP. Hồ Chí Minh,0302615063,TP Hồ Chí Minh,SGT,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SGT
174,"Ngân Hàng Citibank, N.a., Chi Nhánh Thành Phố Hồ Chí Minh",,"Sunwah Building, 115 Đ. Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",0312443416,TP Hồ Chí Minh,,
175,NGÂN HÀNG TMCP VIỆT NAM THƯƠNG TÍN (VIETBANK),,"62A Cách Mạng Tháng Tám, Phường 6, Quận 3, TP.Hồ Chí Minh",2200269805,TP Hồ Chí Minh,VBB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VBB
176,CÔNG TY CP MONDELEZ KINH ĐÔ VN,,138-142 Hai Bà Trưng - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,3700599641,TP Hồ Chí Minh,,
177,CÔNG TY CP TẬP ĐOÀN MASAN,,"Tầng 8, Tòa nhà Central Plaza, 17 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",0303576603,TP Hồ Chí Minh,MSN,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MSN
178,NGÂN HÀNG TMCP SÀI GÒN,,"19 Đ. Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",0311449990,TP Hồ Chí Minh,SCB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SCB
179,NGÂN HÀNG TMCP PHÁT TRIỂN TP. HỒ CHÍ MINH,,25Bis Nguyễn Thị Minh Khai - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,0300608092,TP Hồ Chí Minh,HDB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HDB
180,NGÂN HÀNG TMCP PHƯƠNG ĐÔNG,,"45 Lê Duẩn, Quận 1, TP Hồ Chí Minh, Việt Nam",0300852005,TP Hồ Chí Minh,OCB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=OCB
181,CÔNG TY CỔ PHẦN TẬP ĐOÀN NOVA,,65 Nguyễn Du - Bến Nghé - Quận 1 – TP Hồ Chí Minh,0301447257,TP Hồ Chí Minh,,
182,NGÂN HÀNG TMCP SÀI GÒN CÔNG THƯƠNG,,"19-21-23-25 đường Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",0300610408,TP Hồ Chí Minh,SGB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SGB
183,LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH (CO.OP MART),,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh",0301175691,TP Hồ Chí Minh,,
184,TỔNG CÔNG TY PHÂN BÓN VÀ HÓA CHẤT DẦU KHÍ - CTCP,,Lầu 7 - Tòa nhà PVFCCo - Số 43 Mạc Đĩnh Chi - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,0303165480,TP Hồ Chí Minh,DPM,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DPM
185,NGÂN HÀNG TNHH MTV SHINHAN VIỆT NAM,,"43 Mạc Đĩnh Chi, Phường Đa Kao, Quân 1, Thành phố Hồ Chí Minh'",0309103635,TP Hồ Chí Minh,,
186,Công ty TNHH Cơ Khí Thương Mại và Dịch vụ Đại Hữu,,"32/4F Quang Trung, Phường 8, Quận Gò Vấp, Thành phố Hồ Chí Minh",0311377489,TP Hồ Chí Minh,,
187,Công ty CP Công Nghệ Tiên Phát (TPCom),,"26A đường 4F, P tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",0311887923,TP Hồ Chí Minh,,
188,Công ty TNHH Dịch vụ Chuỗi Cung Ứng DHL (Việt Nam),,"lầu 7, Tòa Nhà Etown 3, 364 Cộng Hòa, P13, Q.tân Bình, Tp.Hồ Chí Minh ",0302587881,TP Hồ Chí Minh,,
189,Công Ty TNHH Chuyển Phát Nhanh DHL-VNPT,,"Số 6 đường Thăng Long, Phường 4, Quận Tân Bình, Tp. Hồ Chí Minh",0304680974,TP Hồ Chí Minh,,
190,Công ty TNHH NIKE Việt Nam,,"Lầu 12 và 13, số 235 Đồng Khởi, tòa nhà Metropolitan, Quận 1, thành phố Hồ Chí Minh",0306579828,TP Hồ Chí Minh,,
191,Công ty TNHH DTS Telecom (tên cũ Công Ty Cổ Phần Công Nghệ Truyền  Thông DTS - MST: 0303224270),,"287B Điện Biên Phủ, Phường 7, Quận 3, Tp Hồ Chí Minh",0316540932,TP Hồ Chí Minh,,
192,Tổng Công ty Cổ phần Khoan và DV Khoan Dầu Khí,,"Lầu 4, Sailing Tower, 111A Pasteur, Q.1, TP.Hồ Chí Minh",0302495126,TP Hồ Chí Minh,PVD,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PVD
193,Công Ty Cổ Phần Sáng Tạo Truyền Thông Việt Nam,,"Phòng 115, lầu 1, Saigon Trade Center, Số 37 Tôn Đức Thắng, Quận 1, Thành phố Hồ Chí Minh
Tầng 4, tòa nhà IC,số 82 phố Duy Tân, phường Dịch Vọng Hậu, quận Cầu Giấy,Thành phố Hà Nội,Việt Nam",0101985579,TP Hồ Chí Minh,,
194,CÔNG TY TNHH ĐẦU TƯ KINH DOANH HẠ TẦNG SCTV,,"32 Đường số 5, Khu dân cư Him Lam, phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",0313627046,TP Hồ Chí Minh,,
195,Công ty TNHH MTV Dịch vụ Mặt Đất Sân bay Việt Nam (VIAGS),,"Hồ Chí Minh Số 49, Đường Trường Sơn, Phường 2, Quận tân Bình, Hồ Chí Minh. ĐC Giao Dịch: Lầu 5, Tòa nhà Tổng Công ty HKVN-CTCP, Sân bay Quốc tế Tân Sơn Nhất, P2, Quận Tân BÌnh, TP Hồ Chí Minh",0313587386,TP Hồ Chí Minh,,
196,Công Ty Cổ Phần Thương Mại Dịch Vụ Viễn Thông RVC (tên cũ Rồng Việt),,"Lầu 8, Tòa nhà CMARD2, số 45 Đinh Tiên Hoàng, P Bến Nghé, Quận 1, Tp Hồ Chí Minih",0313028740,TP Hồ Chí Minh,,
