,Company,CEO,MST,NGANH_NGHE,Type,doanh_thu_2020,doanh_thu_2021,tinh
125,CÔNG TY CP KINH DOANH KHÍ MIỀN NAM,Nguyễn Ngọc Luận,0305097236,Kinh doanh xăng dầu và các sản phẩm liên quan,1,"4,800,561","5,614,656",TP Hồ Chí Minh
126,CÔNG TY CP XÂY DỰNG CENTRAL,Trần Quang Tuấn,0314476689,Xây dựng,1,,,TP Hồ Chí Minh
127,CÔNG TY CP THÉP VÀ THƯƠNG MẠI HÀ NỘI,Đào Quang Tiến,5400363141,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,Hòa Bình
128,CÔNG TY CP TẬP ĐOÀN HÀ ĐÔ,Nguyễn Trọng Thông,0100283802,Kinh doanh bất động sản,1,"4,998,578","3,777,436",Hà Nội
129,CÔNG TY CP XUẤT NHẬP KHẨU NHẤT THÀNH,Nguyễn Thọ Anh,0106025519,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",1,,,Hà Nội
130,CÔNG TY CP NÔNG SẢN THỰC PHẨM QUẢNG NGÃI,Võ Văn Danh,4300321643,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",1,"4,963,112","5,445,043",Quảng Ngãi
131,CÔNG TY CP THƯƠNG MẠI THÀNH THÀNH CÔNG,Phan Vũ Hùng,3700594361,"Sản xuất, chế biến và kinh doanh đường",1,,,Bình Dương
132,TỔNG CÔNG TY CP BẢO HIỂM BƯU ĐIỆN,Bùi Xuân Thu,0100774631,Bảo hiểm,1,"4,734,129","4,963,702",Hà Nội
133,CÔNG TY CP BÓNG ĐÈN PHÍCH NƯỚC RẠNG ĐÔNG,Nguyễn Đoàn Thăng,0101526991,"Sản xuất, kinh doanh thiết bị điện",1,"4,922,447","5,709,068",Hà Nội
134,CÔNG TY TNHH HỆ THỐNG THÔNG TIN FPT (FPT IS),Nguyễn Hoàng Minh,0104128565,Hoạt động thông tin khác,1,,,Hà Nội
135,CÔNG TY CP CƠ KHÍ XÂY DỰNG THƯƠNG MẠI ĐẠI DŨNG,Trịnh Tiến Dũng,0301932246,Dịch vụ khác,1,,,TP Hồ Chí Minh
136,CÔNG TY TNHH TRUNG THÀNH THÁI NGUYÊN,Nguyễn Văn Tốt,4600201989,Bán lẻ khác,1,,,Thái Nguyên
137,TẬP ĐOÀN TRUNG NGUYÊN LEGEND,Đặng Lê Nguyên Vũ,0304324655,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",1,,,TP Hồ Chí Minh
138,CÔNG TY CP NHỰA BÌNH MINH,Nguyễn Hoàng Ngân,0301464823,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,"4,685,640","4,552,757",Hậu Giang
139,CÔNG TY CP ĐẦU TƯ DỊCH VỤ TÀI CHÍNH HOÀNG HUY,Trần Thị Hoàng Hà,0200117929,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",1,"4,419,421","2,755,985",Hải Phòng
140,CÔNG TY CP ĐẦU TƯ XÂY DỰNG NEWTECONS,Trần Kim Long,0303103212,Xây dựng,1,,,TP Hồ Chí Minh
141,NGÂN HÀNG TMCP BẢN VIỆT,Ngô Quang Trung,0301378892,Ngân hàng,1,,,TP Hồ Chí Minh
142,CÔNG TY CP ĐẦU TƯ VÀ KINH DOANH NHÀ KHANG ĐIỀN,Vương Văn Minh,0302588596,Kinh doanh bất động sản,1,"4,532,069","3,738,368",TP Hồ Chí Minh
