Mã số thuế,Mã chứng khoán,Ten cong ty,CEO,Nganh nghe,Doanh thu 2020,Doanh thu 2021,Tinh
0100598873,Chưa niêm yết,CÔNG TY TNHH ỐNG THÉP HÒA PHÁT,Nguyễn Mạnh Tuấn,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hà Nội
0100915699,Chưa niêm yết,CÔNG TY TNHH ZUELLIG PHARMA VIỆT NAM,Charles Antoine Gloor,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Hà Nội
0102325399,VJC,CÔNG TY CP HÀNG KHÔNG VIETJET,Nguyễn Thị Phương Thảo,Vận tải hàng không,"18,220,293","12,874,920",Hà Nội
0100150577,PVS,TỔNG CÔNG TY CP DỊCH VỤ KỸ THUẬT DẦU KHÍ VIỆT NAM,Lê Mạnh Cường,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","3,769,373","3,811,176",TP Hồ Chí Minh
0102595740,Chưa niêm yết,TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,Chu Quang Hào,"Bưu chính, chuyển phát",,,Hà Nội
0100233488,VIB,NGÂN HÀNG TMCP QUỐC TẾ VIỆT NAM,Hàn Ngọc Vũ,Ngân hàng,"3,515,891","3,699,595",TP Hồ Chí Minh
5200896375,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN HÒA BÌNH MINH,Bùi Minh Lực,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Yên Bái
0300816663,Chưa niêm yết,CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM,Uday Shankar Sinha,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,TP Hồ Chí Minh
0101216069,Chưa niêm yết,TỔNG CÔNG TY THUỐC LÁ VIỆT NAM,Trần Sơn Châu,"Sản xuất, chế biến và kinh doanh thuốc lá",,,Hà Nội
6300048638,LPB,NGÂN HÀNG TMCP BƯU ĐIỆN LIÊN VIỆT,Phạm Doãn Sơn,Ngân hàng,"6,720,171","9,017,159",Hà Nội
0104160054,Chưa niêm yết,CÔNG TY CP STAVIAN HÓA CHẤT,Nguyễn Minh Tú,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hà Nội
0102743068,Chưa niêm yết,TỔNG CÔNG TY TRUYỀN TẢI ĐIỆN QUỐC GIA,Nguyễn Mạnh Hùng,"Sản xuất, truyền tải, phân phối điện",,,Hà Nội
0102683813,FLC,CÔNG TY CP TẬP ĐOÀN FLC,Hương Trần Kiều Dung,Kinh doanh bất động sản,"13,488,401","6,771,892",Hà Nội
0100100512,GEX,CÔNG TY CP TẬP ĐOÀN GELEX,Nguyễn Văn Tuấn,"Sản xuất, kinh doanh thiết bị điện","17,948,713","28,578,399",Hà Nội
0102180545,Chưa niêm yết,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG SMBC,Kalidas Ghose,Dịch vụ tài chính khác,,,TP Hồ Chí Minh
0102744865,TPB,NGÂN HÀNG TMCP TIÊN PHONG,Nguyễn Hưng,Ngân hàng,"7,619,057","9,946,049",Hà Nội
5700101468,Chưa niêm yết,TỔNG CÔNG TY ĐÔNG BẮC,Phạm Ngọc Tuyển,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,,Quảng Ninh
0105696842,Chưa niêm yết,"CENTRAL RETAIL (GO! BIG C, TOP MARKET)",Olivier Langlet,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
0300521758,PNJ,CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,Lê Trí Thông,"Bán lẻ vàng, bạc và kim loại quý khác","17,510,789","19,547,058",TP Hồ Chí Minh
0311224517,Chưa niêm yết,CÔNG TY CP MASAN MEATLIFE,Phạm Trung Lâm,Dịch vụ khác,"16,119,005","18,890,888",TP Hồ Chí Minh
6000346337,Chưa niêm yết,CÔNG TY TNHH OLAM VIỆT NAM,Amit Verma,Hoạt động nông nghiệp khác,,,Đắk Nông
0301851276,Chưa niêm yết,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ DAI-ICHI VIỆT NAM,Trần Đình Quân,Bảo hiểm,,,TP Hồ Chí Minh
0104093672,VTP,TỔNG CÔNG TY CP BƯU CHÍNH VIETTEL,Hoàng Trung Thành,"Bưu chính, chuyển phát","17,234,282","21,452,032",Hà Nội
1101359647,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN THÉP NGUYỄN MINH,Nguyễn Minh Huy,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Long An
2801115888,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN VAS NGHI SƠN,Nguyễn Bảo Giang,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Thanh Hoá
5700101362,Chưa niêm yết,CÔNG TY TNHH CALOFIC,Vũ Văn Phú,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,,Quảng Ninh
0301154821,SVC,CÔNG TY CP DỊCH VỤ TỔNG HỢP SÀI GÒN,Phan Dương Cửu Long,Kinh doanh bất động sản,"16,084,549","14,192,876",TP Hồ Chí Minh
3600233178,Chưa niêm yết,CÔNG TY TNHH CARGILL VIỆT NAM,Fering Thomas John,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,TP Hồ Chí Minh
1100439762,Chưa niêm yết,CÔNG TY TNHH CJ VINA AGRI,Nam Ki Don,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Long An
0102182292,Chưa niêm yết,CÔNG TY CP GIẢI PHÁP THANH TOÁN VIỆT NAM,Lê Tánh,Viễn thông,,,Hà Nội
0301930337,Chưa niêm yết,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ AIA (VIỆT NAM),Wayne Besant,Bảo hiểm,,,TP Hồ Chí Minh
0303522206,SMC,CÔNG TY CP ĐẦU TƯ THƯƠNG MẠI SMC,Nguyễn Thị Ngọc Loan,"Kinh doanh kim loại, sắt thép, kim khí…","15,734,958","21,315,015",TP Hồ Chí Minh
0302597576,Chưa niêm yết,CÔNG TY CP DƯỢC LIỆU TRUNG ƯƠNG 2,Nguyễn Công Chiến,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,TP Hồ Chí Minh
3900244389,SBT,CÔNG TY CP THÀNH THÀNH CÔNG - BIÊN HÒA,Ông Nguyễn Thanh Ngữ,"Sản xuất, chế biến và kinh doanh đường","14,924,868","18,325,361",Tây Ninh
0100102608,Chưa niêm yết,TỔNG CÔNG TY LƯƠNG THỰC MIỀN BẮC,Bùi Thị Thanh Tâm,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Hà Nội
0100774342,Chưa niêm yết,CÔNG TY TNHH YAMAHA MOTOR VIỆT NAM,Masaki Asano,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hà Nội
0311609355,FRT,CÔNG TY CP BÁN LẺ KỸ THUẬT SỐ FPT,Hoàng Trung Kiên,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin","14,661,417","22,494,961",TP Hồ Chí Minh
2600261303,Chưa niêm yết,CÔNG TY TNHH HẢI LINH,Lê Văn Tám,Kinh doanh xăng dầu và các sản phẩm liên quan,,,Phú Thọ
0300852005,Chưa niêm yết,NGÂN HÀNG TMCP PHƯƠNG ĐÔNG,Nguyễn Đình Tùng,Ngân hàng,"1,670,025","1,701,758",TP Hồ Chí Minh
2700668614,Chưa niêm yết,CÔNG TY CP HYUNDAI THÀNH CÔNG VIỆT NAM,Trần Hữu Phú,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hà Nội
2000393273,MPC,CÔNG TY CP TẬP ĐOÀN THỦY SẢN MINH PHÚ,Lê Văn Quang,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh","14,329,350","13,577,505",Cà Mau
3701091716,Chưa niêm yết,CÔNG TY TNHH DE HEUS,Gabor Fluit,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Vĩnh Long
2500175548,Chưa niêm yết,CÔNG TY TNHH JAPFA COMFEED VIỆT NAM,Arif Widjaja,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Vĩnh Phúc
0300452060,PET,TỔNG CÔNG TY CP DỊCH VỤ TỔNG HỢP DẦU KHÍ,Vũ Tiến Dương,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin","13,453,249","17,598,238",TP Hồ Chí Minh
0302249586,Chưa niêm yết,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM),Bruno Jousselin,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
0303443233,CTD,CÔNG TY CP XÂY DỰNG COTECCONS,N.A,Xây dựng,"14,558,086","9,077,915",TP Hồ Chí Minh
0100104468,Chưa niêm yết,TỔNG CÔNG TY VẬT TƯ NÔNG NGHIỆP,Nguyễn Tất Thắng,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,Hà Nội
0302861742,DWG,CÔNG TY CP THẾ GIỚI SỐ,Đoàn Hồng Việt,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…","12,535,638","20,922,813",TP Hồ Chí Minh
0200124891,MSB,NGÂN HÀNG TMCP HÀNG HẢI VIỆT NAM,Nguyễn Hoàng Linh,Ngân hàng,"4,822,389","6,216,244",Hà Nội
0100100008,Chưa niêm yết,TẬP ĐOÀN DỆT MAY VIỆT NAM,Lê Tiến Trường,"Sản xuất, kinh doanh sợi, sản phẩm dệt","13,908,982","16,002,865",Hà Nội
