Mã số thuế,Mã chứng khoán,Ten cong ty,CEO,Nganh nghe,Doanh thu 2020,Doanh thu 2021,Tinh
0302980690,Chưa niêm yết,CÔNG TY TNHH ĐẦU TƯ ĐỊA ỐC THÀNH PHỐ,Bùi Mạnh Hưng,Kinh doanh bất động sản,,,TP Hồ Chí Minh
0500443916,XMC,CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG XUÂN MAI,Nguyễn Cao Thắng,Xây dựng,"2,140,454","1,612,653",Hà Nội
0103711478,Chưa niêm yết,CÔNG TY CP XÂY DỰNG HỢP LỰC,Trần Ngọc Tân,Xây dựng,,,Hà Nội
1400116233,Chưa niêm yết,NGÂN HÀNG TMCP XĂNG DẦU PETROLIMEX,Nguyễn Quang Định,Ngân hàng,,,Hà Nội
0100104066,Chưa niêm yết,CÔNG TY CP VẬT TƯ NÔNG SẢN,Nguyễn Tiến Dũng,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,Hà Nội
5000268824,Chưa niêm yết,CÔNG TY TNHH MTV BÒ SỮA VIỆT NAM,Trịnh Quốc Dũng,Chăn nuôi,,,TP Hồ Chí Minh
0100107437,Chưa niêm yết,CÔNG TY THƯƠNG MẠI DỊCH VỤ TRÀNG THI,Vũ Trọng Tuấn,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
0301463315,Chưa niêm yết,CÔNG TY TNHH TRUYỀN HÌNH CÁP SAIGONTOURIST,Trần Văn Úy,"Truyền hình, phát thanh, phim ảnh",,,TP Hồ Chí Minh
0100203476,Chưa niêm yết,TỔNG CTCP THƯƠNG MẠI XÂY DỰNG,Võ Nhật Thăng,Kinh doanh bất động sản,,,Hà Nội
0101967587,Chưa niêm yết,CÔNG TY CP THÉP VÀ VẬT TƯ XÂY DỰNG,Vũ Thị Năm,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hà Nội
0101600518,Chưa niêm yết,CÔNG TY CP KỸ THUẬT SIGMA,Nguyễn Quang Ngọc,Hoạt động xây dựng khác,,,Hà Nội
0303781761,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ HAI SÁU SÁU,Nguyễn Thị Hồng Hạnh,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,TP Hồ Chí Minh
1401934305,Chưa niêm yết,CÔNG TY TNHH MTV THỨC ĂN THỦY SẢN MEKONG,Đặng Hoàng Phương,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Tháp
0100106063,Chưa niêm yết,CÔNG TY CP CƠ ĐIỆN TRẦN PHÚ,Đặng Quốc Chính,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
0302511219,VNF,CÔNG TY CP VINAFREIGHT,Nguyễn Huy Diệu,Hoạt động khác hỗ trợ cho vận tải,"2,468,752","4,895,878",TP Hồ Chí Minh
0900246768,Chưa niêm yết,CÔNG TY CP ỐNG ĐỒNG TOÀN PHÁT,Bùi Hồng Phúc,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hưng Yên
0100113494,Chưa niêm yết,CÔNG TY TNHH QUỐC TẾ LIÊN DOANH VINACONEX - TAISEI (VINATA),Seiichiro Kuwabara,Xây dựng,,,Hà Nội
0101185572,Chưa niêm yết,CÔNG TY CP TƯ VẤN VÀ XÂY DỰNG PHÚ XUÂN,Nguyễn Quốc Mến,Xây dựng,,,Hà Nội
0100101322,Chưa niêm yết,TỔNG CÔNG TY THIẾT BỊ ĐIỆN ĐÔNG ANH - CTCP,Nguyễn Vũ Cường,"Sản xuất, kinh doanh thiết bị điện","2,422,137","2,116,604",Hà Nội
0900108380,Chưa niêm yết,CÔNG TY CP NHỰA HƯNG YÊN,Nguyễn Minh Tân,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hưng Yên
0101261431,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN TOJI,Hồ Minh Tiến,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
2600251062,Chưa niêm yết,CÔNG TY TNHH XÂY DỰNG TỰ LẬP,Nguyễn Văn Thỏa,Xây dựng,,,Phú Thọ
0100106232,Chưa niêm yết,TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG ĐÔ THỊ UDIC - CÔNG TY TNHH MTV,Nguyễn Minh Quang,Xây dựng,,,Hà Nội
3602576702,Chưa niêm yết,CÔNG TY TNHH XUẤT NHẬP KHẨU VI NA ĐẠI VIỆT,Trần Vũ Quỳnh Như,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,,Đồng Nai
0100106426,LIG,CÔNG TY CP LICOGI 13,Phạm Văn Thăng,Xây dựng,"2,338,314","2,439,778",Hà Nội
0105284398,Chưa niêm yết,CÔNG TY CP MEGRAM,Đỗ Thành Trung,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
3900212443,Chưa niêm yết,CÔNG TY TNHH XUẤT NHẬP KHẨU - THƯƠNG MẠI - CÔNG NGHỆ - DỊCH VỤ HÙNG DUY,Lê Minh Trúc,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Tây Ninh
0900246535,Chưa niêm yết,CÔNG TY TNHH THIẾT BỊ ĐIỆN LIOA,Nguyễn Chí Linh,"Sản xuất, kinh doanh thiết bị điện",,,Hưng Yên
0101148154,Chưa niêm yết,TỔNG CÔNG TY VẬN TẢI HÀ NỘI,Nguyễn Thanh Nam,Vận tải đường bộ,,,Hà Nội
0300539709,Chưa niêm yết,CÔNG TY TNHH HEWLETT - PACKARD VIỆT NAM,Trần Thị Minh Thuận,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,TP Hồ Chí Minh
0200826844,VPG,CÔNG TY CP ĐẦU TƯ THƯƠNG MẠI XNK VIỆT PHÁT,Nguyễn Xuân Trường,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ","2,331,465","3,863,572",Hải Phòng
0101370014,Chưa niêm yết,CÔNG TY CP THƯƠNG MẠI CITICOM,Lê Phụng Thắng,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hà Nội
0105454762,Chưa niêm yết,TỔNG CÔNG TY 36,Nguyễn Đăng Giáp,Xây dựng,"2,308,851","1,161,553",Hà Nội
2600109933,Chưa niêm yết,CÔNG TY TNHH MIWON VIỆT NAM,Shin Sangho,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,Phú Thọ
0304475742,CMF,CÔNG TY CP THỰC PHẨM CHOLIMEX,Diệp Nam Hải,"Sản xuất, chế biến và kinh doanh thực phẩm khác","2,263,329","2,508,601",TP Hồ Chí Minh
0101466566,Chưa niêm yết,CÔNG TY CP HAWEE CƠ ĐIỆN,Nguyễn Thị Hải Yến,Hoạt động xây dựng khác,,,Hà Nội
0100106440,,TỔNG CÔNG TY LICOGI- CTCP,Vũ Tiến Giao,Xây dựng,"2,187,968","1,988,415",Hà Nội
0103085460,Chưa niêm yết,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM SÀI GÒN - HÀ NỘI,Nguyễn Văn Trưởng,Bảo hiểm,,,Hà Nội
0102702590,VPI,CÔNG TY CP ĐẦU TƯ VĂN PHÚ - INVEST,Triệu Hữu Đại,Kinh doanh bất động sản,"2,164,999","2,610,596",Hà Nội
0309875328,Chưa niêm yết,CÔNG TY TNHH KINH DOANH LỐP XE BRIDGESTONE VIỆT NAM,Hiroyuki Saito,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,TP Hồ Chí Minh
1100798176,Chưa niêm yết,CÔNG TY CP THÉP TOP PRO,"Hong, Chung-Cheng","Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Long An
0104415496,Chưa niêm yết,CÔNG TY CP ECOBA VIỆT NAM,Võ Tiến Đạt,Xây dựng,,,Hà Nội
0303615482,Chưa niêm yết,CÔNG TY CP XÂY DỰNG PHƯỚC THÀNH,Phạm Thị Thanh Hằng,Xây dựng,,,TP Hồ Chí Minh
0302910950,HCM,CÔNG TY CP CHỨNG KHOÁN TP. HỒ CHÍ MINH,Johan Nyvene,Chứng khoán,"2,247,906","4,460,113",TP Hồ Chí Minh
0311500196,AGG,CÔNG TY CP ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN AN GIA,Nguyễn Bá Sáng,Kinh doanh bất động sản,"1,753,643","1,808,365",TP Hồ Chí Minh
5701483604,Chưa niêm yết,CÔNG TY CP ĐÓNG TÀU VÀ VẬN TẢI BIỂN NAM PHÁT,Phạm Đắc Nam,Công nghiệp đóng tàu và thuyền,,,Quảng Ninh
0304133227,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG VẬN TẢI THANH LONG,Hồ Kiến Phong,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
0800740412,Chưa niêm yết,CÔNG TY CP LUYỆN KIM TÂN NGUYÊN HẢI DƯƠNG VIỆT NAM,Hồ Dư Khang (Hu YuKang),"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hải Dương
0100150873,PVC,TỔNG CÔNG TY HÓA CHẤT VÀ DỊCH VỤ DẦU KHÍ - CTCP,Phan Công Thành,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","2,178,705","2,760,260",Hà Nội
0200236845,PHP,CÔNG TY CP CẢNG HẢI PHÒNG,Nguyễn Tường Anh,"Kho bãi, bốc xếp hàng hóa","2,030,663","2,284,630",Hải Phòng
0100106338,Chưa niêm yết,TỔNG CÔNG TY XÂY DỰNG HÀ NỘI,Đậu Văn Diện,Xây dựng,"1,991,733","2,413,517",Hà Nội
0303800051,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN VINACAM,Vũ Duy Hải,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,TP Hồ Chí Minh
1600895650,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ DU LỊCH VÀ PHÁT TRIỂN THỦY SẢN,Ông Lê Văn Lâm,Hoạt động xây dựng khác,,,Đồng Tháp
0101160306,CRE,CÔNG TY CP BẤT ĐỘNG SẢN THẾ KỶ,Nguyễn Trung Vũ,Kinh doanh bất động sản,"2,117,495","5,597,582",Hà Nội
3700805566,IJC,CÔNG TY CP PHÁT TRIỂN HẠ TẦNG KỸ THUẬT,Đỗ Quang Ngôn,Kinh doanh bất động sản,"2,141,296","2,601,723",Bình Dương
0100931299,BIC,TỔNG CÔNG TY CP BẢO HIỂM NGÂN HÀNG ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM,Trần Hoài An,Bảo hiểm,"1,887,816","2,155,107",Hà Nội
3700370643,Chưa niêm yết,CÔNG TY TNHH ROCHDALE SPEARS,Hoàng Yến,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,,Bình Dương
3700257662,Chưa niêm yết,CÔNG TY CP NHỰA BẢO VÂN,Nguyễn Quốc Bảo,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Bình Dương
2900324850,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN CIENCO4,Nguyễn Tuấn Huỳnh,Xây dựng,"2,089,845","1,885,076",Hà Nội
0300627384,Chưa niêm yết,CÔNG TY CP KỸ NGHỆ THỰC PHẨM VIỆT NAM (VIFON),Lê Thị Ánh Phương,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,TP Hồ Chí Minh
0100516045,Chưa niêm yết,CÔNG TY CP MÁY TÍNH VĨNH XUÂN,Ngô Thị Kim Ngân,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
1100548578,Chưa niêm yết,CÔNG TY CP ĐỒNG TÂM,Nguyễn Văn Hùng,Kinh doanh bất động sản,,,Long An
0308783233,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ LBM,Nguyễn Mạnh Bảo,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,TP Hồ Chí Minh
1100814572,Chưa niêm yết,CÔNG TY CP THỰC PHẨM AN LONG,Huỳnh Tuân Phương Mai,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,,Long An
0301446006,PPH,TỔNG CÔNG TY CP PHONG PHÚ,Phạm Xuân Trình,"Sản xuất, kinh doanh sợi, sản phẩm dệt","2,099,133","1,652,139",TP Hồ Chí Minh
3500101065,Chưa niêm yết,CÔNG TY TNHH BACONCO,"Siquet, Pierre Louis Bernard","Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,Bà Rịa - Vũng Tàu
0200109445,Chưa niêm yết,CÔNG TY CP CÔNG NGHIỆP NHỰA PHÚ LÂM,Huang Cheng Hung,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hải Phòng
0102065366,VND,CÔNG TY CP CHỨNG KHOÁN VNDIRECT,Nguyễn Vũ Long,Chứng khoán,"2,134,529","6,039,233",Hà Nội
0101218757,DPG,CÔNG TY CP TẬP ĐOÀN ĐẠT PHƯƠNG,Trần Anh Tuấn,Xây dựng,"2,118,336","2,545,456",Hà Nội
1400528082,Chưa niêm yết,CÔNG TY TNHH HÙNG CÁ,Trần Văn Hùng,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,TP Hồ Chí Minh
3700229030,Chưa niêm yết,CÔNG TY TNHH LIÊN DOANH SẢN XUẤT ÔTÔ NGÔI SAO,Ryujiro Kobashi,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Bình Dương
3600253537,SAM,CÔNG TY CP SAM HOLDINGS,Trần Việt Anh,"Sản xuất, kinh doanh thiết bị điện","1,919,269","1,888,697",TP Hồ Chí Minh
2600357502,Chưa niêm yết,TỔNG CÔNG TY GIẤY VIỆT NAM,.,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,,Hà Nội
1601645981,Chưa niêm yết,CÔNG TY CP GAVI,Lê Thị Hoàng Trinh,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,An Giang
0105824156,IBC,CÔNG TY CP ĐẦU TƯ APAX HOLDINGS,Vũ Cẩm La Hương,Dịch vụ khác,"1,951,190","1,733,836",Hà Nội
0300645369,STG,CÔNG TY CP KHO VẬN MIỀN NAM,Trần Tuấn Anh,"Kho bãi, bốc xếp hàng hóa","737,107","686,821",TP Hồ Chí Minh
3601038204,Chưa niêm yết,CÔNG TY CP XĂNG DẦU TÍN NGHĨA,Trần Thanh Tùng,Kinh doanh xăng dầu và các sản phẩm liên quan,,,Đồng Nai
0101272578,Chưa niêm yết,CÔNG TY CP KỸ THƯƠNG THIÊN HOÀNG,Phạm Bách Tùng,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
0313919539,Chưa niêm yết,CÔNG TY CP BM WINDOWS,Trần Văn Tiến,Xây dựng,,,TP Hồ Chí Minh
2300372796,Chưa niêm yết,CÔNG TY CP HANACANS,Hidetaka Makabe,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Bắc Ninh
0800902222,Chưa niêm yết,CÔNG TY CP ỐNG THÉP THUẬN PHÁT,Trần Văn Thắng,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hải Dương
0500391400,DHT,CÔNG TY CP DƯỢC PHẨM HÀ TÂY,Lê Xuân Thắng,"Sản xuất dược phẩm, thiết bị y tế","2,006,475","1,609,364",Hà Nội
0105167581,ROS,CÔNG TY CP XÂY DỰNG FLC FAROS,Nguyễn Thiện Phú,Xây dựng,"1,799,265",,Hà Nội
0101806244,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT NAM PHÁT,Nguyễn Lương Ngọc,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Hà Nội
2300238060,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN TONMAT,Trần Văn Sơn,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Bắc Ninh
3700381282,DTL,CÔNG TY CP ĐẠI THIÊN LỘC,Nguyễn Thanh Loan,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","1,982,112","1,380,751",Bình Dương
0201725327,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN TRANG KHANH,Đoàn Thanh Duy,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hải Phòng
0300408745,Chưa niêm yết,CÔNG TY CP XÂY DỰNG SỐ 1,Lê Đăng Vinh,Xây dựng,,,TP Hồ Chí Minh
4100733174,PCE,CÔNG TY CP PHÂN BÓN HÓA CHẤT DẦU KHÍ MIỀN TRUNG,Trần Tuấn Nam,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","1,863,265","3,036,619",Bình Định
0100108656,TRA,CÔNG TY CP TRAPHACO,Trần Túc Mã,"Sản xuất dược phẩm, thiết bị y tế","1,908,870","2,160,840",Hà Nội
0303315400,SCR,CÔNG TY CP ĐỊA ỐC SÀI GÒN THƯƠNG TÍN,Vũ Quốc Thái,Kinh doanh bất động sản,"918,155","1,683,184",TP Hồ Chí Minh
3600669165,Chưa niêm yết,CÔNG TY CP TRUNG ĐÔNG,Trương Quang Thọ,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Đồng Nai
0800286887,Chưa niêm yết,CÔNG TY CP B.C.H,Nguyễn Văn Tuấn,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hải Dương
0900234699,Chưa niêm yết,CÔNG TY TNHH THÉP NHẬT QUANG,Nguyễn Nhật Thăng,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hưng Yên
0100276146,Chưa niêm yết,CÔNG TY TNHH HÒA BÌNH,Nguyễn Hữu Đường,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,Hà Nội
2800463346,LSS,CÔNG TY CP MÍA ĐƯỜNG LAM SƠN,Lê Văn Tân,"Sản xuất, chế biến và kinh doanh đường","1,846,471","2,041,296",Thanh Hoá
0200170658,Chưa niêm yết,"CÔNG TY CP ĐẦU TƯ, THƯƠNG MẠI VÀ DỊCH VỤ - VINACOMIN",Thiều Quang Thảo,"Khai thác, kinh doanh than và hoạt động hỗ trợ","1,807,798","1,460,351",Hà Nội
0100828742,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI QUỐC TẾ - ICT,Tạ Thanh Xuân,Công nghiệp khác,,,Hà Nội
0200611969,Chưa niêm yết,CÔNG TY TNHH BÊ TÔNG VÀ XÂY DỰNG MINH ĐỨC,Tạ Quyết Thắng,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hải Phòng
0102524651,SHS,CÔNG TY CP CHỨNG KHOÁN SÀI GÒN - HÀ NỘI,Vũ Đức Tiến,Chứng khoán,"685,729","-64,305",Hà Nội
0102637020,Chưa niêm yết,CÔNG TY CP DƯỢC PHẨM ECO,Ngô Chí Dũng,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Hà Nội
1101573295,Chưa niêm yết,CÔNG TY CP LOUIS HOLDINGS,Nguyễn Mai Long,Dịch vụ tài chính khác,,,TP Hồ Chí Minh
0101449271,NSC,CÔNG TY CP TẬP ĐOÀN GIỐNG CÂY TRỒNG VIỆT NAM,Trần Kim Liên,Hoạt động nông nghiệp khác,"1,634,552","1,928,606",Hà Nội
0400102616,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ VÀ KINH DOANH THÉP NHÂN LUẬT,Phan Châu Luật,"Kinh doanh kim loại, sắt thép, kim khí…",,,Đà Nẵng
3700778489,Chưa niêm yết,BMB STEEL,Trần Lê Quốc Thái,Xây dựng,,,Bình Dương
0101306139,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN AUSTDOOR,Dương Quốc Tuấn,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
0303099446,Chưa niêm yết,CÔNG TY CP BẢO HIỂM VIỄN ĐÔNG,Đặng Diệp Đại Khoa,Bảo hiểm,,,TP Hồ Chí Minh
0103018538,PLP,CÔNG TY CP SẢN XUẤT VÀ CÔNG NGHỆ NHỰA PHA LÊ,Mai Thanh Phương - Chủ tịch HĐQT,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","1,786,074","2,412,715",Hải Phòng
1800155452,SDG,CÔNG TY CP SADICO CẦN THƠ,Nguyễn Văn Cường,"Sản xuất, kinh doanh trang phục","1,661,527","1,353,508",Cần Thơ
1200526842,THG,CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG TIỀN GIANG,Trần Hoàng Huân,Xây dựng,"1,782,150","1,318,964",Tiền Giang
1401976866,Chưa niêm yết,CÔNG TY TNHH SAO MAI SUPER FEED,Lê Thị Phượng,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Tháp
0300610408,Chưa niêm yết,NGÂN HÀNG TMCP SÀI GÒN CÔNG THƯƠNG,Dương Xuân Minh,Ngân hàng,"590,669","589,171",TP Hồ Chí Minh
0301424404,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI THÉP TOÀN THẮNG,Đoàn Danh Tuấn,"Kinh doanh kim loại, sắt thép, kim khí…",,,TP Hồ Chí Minh
0102806367,EVF,CÔNG TY TÀI CHÍNH CP ĐIỆN LỰC,Lương Hải Sinh,Ngân hàng,"713,211","786,127",Hà Nội
0305475110,PVP,CÔNG TY CP VẬN TẢI DẦU KHÍ THÁI BÌNH DƯƠNG,Lê Mạnh Tuấn,Vận tải đường biển,"1,611,043","1,244,003",TP Hồ Chí Minh
0101099228,DAG,CÔNG TY CP TẬP ĐOÀN NHỰA ĐÔNG Á,Nguyễn Bá Hùng,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","1,756,946","1,953,961",Hà Nội
0305299779,VCI,CÔNG TY CP CHỨNG KHOÁN BẢN VIỆT,Tô Hải,Chứng khoán,"1,729,592","3,707,069",TP Hồ Chí Minh
0100100590,Chưa niêm yết,CÔNG TY CP DỆT 10/10,Dương Văn Bình,"Sản xuất, kinh doanh trang phục",,,Hà Nội
0200157840,Chưa niêm yết,TỔNG CÔNG TY XÂY DỰNG BẠCH ĐẰNG,Nguyễn Trọng Khải,Xây dựng,,,Hải Phòng
0313094165,Chưa niêm yết,CÔNG TY CP THƯƠNG MẠI XUẤT NHẬP KHẨU DẦU KHÍ MINH ĐỨC,Trần Đức Dũng,Kinh doanh xăng dầu và các sản phẩm liên quan,,,TP Hồ Chí Minh
0304752594,Chưa niêm yết,CÔNG TY CP DATVIET MEDIA,Đào Văn Kính,Quảng cáo và nghiên cứu thị trường,,,TP Hồ Chí Minh
0101405355,S99,CÔNG TY CP SCI,Nguyễn Văn Phúc,Xây dựng,"1,608,549","6,451,445",Hà Nội
0100101403,Chưa niêm yết,TỔNG CÔNG TY ĐỨC GIANG - CTCP,Hoàng Vệ Dũng,"Sản xuất, kinh doanh trang phục","1,630,273","1,915,407",Hà Nội
0302802627,Chưa niêm yết,CÔNG TY TNHH RITA VÕ,Võ Mậu Quốc Duy,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
3900513521,Chưa niêm yết,CÔNG TY CP HẢI ĐĂNG,Thái Trường Giang,Xây dựng,,,Tây Ninh
0303376241,Chưa niêm yết,CÔNG TY CP THIỆN PHÚ SĨ,Trần Thị Xuân Hạ,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Long An
0306012059,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT GIẤY KHẢI HOÀN,Ung Thị Thu Mỹ,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,,TP Hồ Chí Minh
0100683374,Chưa niêm yết,CÔNG TY CP VIỄN THÔNG - TIN HỌC BƯU ĐIỆN (CTIN),Hà Thanh Hải,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
0307859271,Chưa niêm yết,CÔNG TY TNHH XÂY DỰNG TUẤN LÊ,Lê Anh Tuấn,Xây dựng,,,TP Hồ Chí Minh
0303587122,Chưa niêm yết,CÔNG TY CP DẦU THỰC VẬT TÂN BÌNH,Trương Hoàng Minh,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,,TP Hồ Chí Minh
0400101404,DDN,CÔNG TY CP DƯỢC - THIẾT BỊ Y TẾ ĐÀ NẴNG,Tống Viết Phải,"Kinh doanh, phân phối dược phẩm, thiết bị y tế","1,554,801","1,546,299",Đà Nẵng
0105283073,Chưa niêm yết,CÔNG TY CP XÂY DỰNG CDC,Trần Văn Trường,Xây dựng,,,Hà Nội
0305390530,GSP,CÔNG TY CP VẬN TẢI SẢN PHẨM KHÍ QUỐC TẾ,Đoàn Đức Trọng,Vận tải đường biển,"1,547,235","1,631,605",TP Hồ Chí Minh
0101311315,PHC,CÔNG TY CP XÂY DỰNG PHỤC HƯNG HOLDINGS,Trần Hồng Phúc,Xây dựng,"419,450","289,459",Hà Nội
0303739921,Chưa niêm yết,CÔNG TY CP ĐỊA ỐC PHÚ LONG,Phùng Chu Cường,Kinh doanh bất động sản,,,TP Hồ Chí Minh
0313743966,Chưa niêm yết,CÔNG TY TNHH TNI KING COFFEE,Lê Hoàng Diệp Thảo,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,TP Hồ Chí Minh
0309828977,Chưa niêm yết,CÔNG TY CP XUẤT NHẬP KHẨU THUẬN MINH,Huỳnh Bảo Trọng,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,TP Hồ Chí Minh
0300588664,Chưa niêm yết,CÔNG TY CP XÂY LẮP VÀ VẬT TƯ XÂY DỰNG,Hoàng Thị Bạch Tuyết,Xây dựng,,,TP Hồ Chí Minh
0301985093,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI THÉP NAM VIỆT,Đào Minh Hiếu,"Kinh doanh kim loại, sắt thép, kim khí…",,,TP Hồ Chí Minh
0101188943,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VÀ VẬN TẢI THÁI TÂN,Nguyễn Thanh Nga,Bán lẻ khác,,,Hà Nội
0102117529,Chưa niêm yết,CÔNG TY CP CHỨNG KHOÁN TÂN VIỆT,Nguyễn Tiến Thành,Chứng khoán,,,Hà Nội
1401598685,Chưa niêm yết,CÔNG TY TNHH CỎ MAY LAI VUNG,Phan Minh Thiện,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Tháp
0301825452,SRF,CÔNG TY CỔ PHẦN SEAREFICO,Nguyễn Thị Thanh Hường,Hoạt động xây dựng khác,"1,486,297","930,440",TP Hồ Chí Minh
3600506058,Chưa niêm yết,CÔNG TY CP TỔNG CÔNG TY MAY ĐỒNG NAI,Bùi Thế Kích,"Sản xuất, kinh doanh trang phục",,,Đồng Nai
0102018260,Chưa niêm yết,CÔNG TY CP PI CO,Trịnh Đức Tuấn,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,,Hà Nội
0304355389,Chưa niêm yết,CÔNG TY TNHH KIẾN VƯƠNG,Nguyễn Tuấn Cường,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,TP Hồ Chí Minh
0101183550,CEO,CÔNG TY CP TẬP ĐOÀN C.E.O,Đoàn Văn Minh,Kinh doanh bất động sản,"1,323,835","901,811",Hà Nội
0309930593,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ MAI TIẾN PHÁT,Mai Văn Phục,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
