139,CÔNG TY CP NHỰA BÌNH MINH,Nguyễn Hoàng Ngân,0301464823,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa"
140,CÔNG TY CP ĐẦU TƯ DỊCH VỤ TÀI CHÍNH HOÀNG HUY,Trần Thị Hoàng Hà,0200117929,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện"
141,CÔNG TY CP ĐẦU TƯ XÂY DỰNG NEWTECONS,Trần Kim Long,0303103212,Xây dựng
142,NGÂN HÀNG TMCP BẢN VIỆT,Ngô Quang Trung,0301378892,Ngân hàng
143,CÔNG TY CP ĐẦU TƯ VÀ KINH DOANH NHÀ KHANG ĐIỀN,Vương Văn Minh,0302588596,Kinh doanh bất động sản
144,CÔNG TY CP NHỰA THIẾU NIÊN TIỀN PHONG,Chu Văn Phương,0200167782,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa"
145,CÔNG TY CP HƯNG THỊNH INCONS,Trần Tiến Thanh,0305371707,Xây dựng
146,CÔNG TY CP CHỨNG KHOÁN SSI,Nguyễn Hồng Nam,0301955155,Chứng khoán
147,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG,Đào Thế Vinh,0102721191,Ẩm thực
148,CÔNG TY CP Á ĐÔNG ADG,Hồ Hoàng Bảo Vinh,0308113486,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa"
149,CÔNG TY CP ĐẦU TƯ VÀ THƯƠNG MẠI TNG,Nguyễn Văn Thời,4600305723,"Sản xuất, kinh doanh trang phục"
150,CÔNG TY CP THỰC PHẨM SAO TA,Phạm Hoàng Việt,2200208753,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp"
151,CÔNG TY CP GIAO NHẬN VẬN TẢI CON ONG,Đinh Hữu Thạnh,0303482440,Hoạt động khác hỗ trợ cho vận tải
152,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ TÂN HIỆP PHÁT,Trần Quý Thanh,0301387752,"Sản xuất, chế biến và kinh doanh đồ uống không cồn"
153,CÔNG TY CP DÂY VÀ CÁP ĐIỆN THƯỢNG ĐÌNH,Phạm Lương Hòa,0100892628,"Sản xuất, kinh doanh thiết bị điện"
154,CÔNG TY TNHH XUÂN LỘC THỌ,Trần Thị Thu Hà,0100736347,"Sản xuất, kinh doanh thiết bị điện"
155,CÔNG TY CP TẬP ĐOÀN PHƯỢNG HOÀNG XANH A&A,Hồ Xuân Năng,0104961939,"Sản xuất, kinh doanh vật liệu xây dựng"
156,CÔNG TY CP THƯƠNG NGHIỆP CÀ MAU,Nguyễn Thị Việt Ánh,2000110221,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông"
157,NGÂN HÀNG TMCP KIÊN LONG,Trần Ngọc Minh,1700197787,Ngân hàng
158,CÔNG TY CP TẬP ĐOÀN HƯNG THỊNH,Nguyễn Đình Trung,0305410561,Kinh doanh bất động sản
159,CÔNG TY CP THÉP VIỆT Ý,Nguyễn Thanh Hà,0900222647,"Sản xuất, gia công kim loại, sắt thép, kim khí…"
160,CÔNG TY CP TẬP ĐOÀN IPC,Phí Phong Hà,0102055583,"Kinh doanh kim loại, sắt thép, kim khí…"
161,CÔNG TY CP AN TIẾN INDUSTRIES,Đặng Thị Quỳnh Phương,5200466372,Hoạt động công nghiệp khác
162,CÔNG TY CP TẬP ĐOÀN THÉP TIẾN LÊN,Phạm Thị Hồng,3600512830,"Kinh doanh kim loại, sắt thép, kim khí…"
163,CÔNG TY CP ABC VIỆT NAM,Nguyễn Thị Dịu,0900254448,"Sản xuất, kinh doanh thức ăn chăn nuôi"
