,Tên công ty,Tên quốc tế,Tên viết tắt,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh
604,TỔNG CÔNG TY HÓA DẦU PETROLIMEX - CTCP,PETROLIMEX PETROCHEMICAL CORPORATION - JSC,PLC,0101463614,"Tầng 18 & 19, Số 229 phố Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",ĐỖ HỮU TẠOLÊ QUANG TUẤN,02438513205,2004-02-18,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),
605,CÔNG TY LIÊN DOANH SẢN XUẤT THÉP VINAUSTEEL,,,0200108811,"Khu Vật Cách, Phường Quán Toan, Quận Hồng Bàng, Thành phố Hải Phòng, Việt Nam","NGÔ ĐÌNH KHÔI
Ngoài ra NGÔ ĐÌNH KHÔI còn đại diện các doanh nghiệp:
CÔNG TY LIÊN DOANH SẢN XUẤT THÉP VINAUSTEEL",Bị ẩn theo yêu cầu người dùng,1994-06-28,Cục Thuế TP Hải Phòng,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Rèn, dập, ép và cán kim loại; luyện bột kim loại
Chi tiết: Cán, kéo các sản phẩm thép"
606,CÔNG TY TNHH THƯƠNG MẠI KHATOCO,"KHATOCO TRADING CO., LTD",,4200485207,"Số 7 Đường Võ Thị Sáu, Phường Vĩnh Nguyên, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",LÊ THỊ THU NGA ( sinh năm 1969 - Quảng Trị) Ẩn thông tin,058 3731314,2002-06-14,Cục Thuế Tỉnh Khánh Hoà,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn sản phẩm thuốc lá, thuốc lào
Chi tiết: bán buôn sản phẩm thuốc lá điếu sản xuất trong nước"
607,CÔNG TY CỔ PHẦN PHÂN BÓN BÌNH ĐIỀN,BÌNH ĐIỀN FERTILIZER JOINT STOCK COMPANY,BFC,0302975517,"C12/21 Quốc lộ 1 A, Xã Tân Kiên, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam","NGÔ VĂN ĐÔNG
Ngoài ra NGÔ VĂN ĐÔNG còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY CỔ PHẦN BÌNH ĐIỀN QUẢNG TRỊ TẠI KHU KINH TẾ - THƯƠNG MẠI ĐẶC BIỆT LAO BẢO",0837561191,2011-01-25,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),
608,TỔNG CÔNG TY CỔ PHẦN KHOAN VÀ DỊCH VỤ KHOAN DẦU KHÍ,PetroVietNam Drilling & Well Service Corporation,PV Drilling Corp,0302495126,"lầu 4, tòa nhà Sailing Tower, số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",NGUYỄN XUÂN CƯỜNG,0839142012,2006-02-15,Cục thuế Doanh nghiệp lớn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),
609,CÔNG TY TRÁCH NHIỆM HỮU HẠN SIAM CITY CEMENT (VIỆT NAM),SIAM CITY CEMENT (VIETNAM) LIMITED,SCC-VN,0300608568,"Số 11 Đường Đoàn Văn Bơ, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",EAMON JOHN GINLEY,+84 28 7301 7018,2008-08-22,Cục Thuế Thành phố Hồ Chí Minh,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất xi măng, vôi và thạch cao
Chi tiết: - Sản xuất xi măng (không hoạt động tại trụ sở). - Dịch vụ gia công sản phẩm xi măng. - Xây dựng một trạm nghiền xi măng và một cầu cảng chuyên dùng phục vụ cho trạm nghiền xi măng đặt tại Khu Công nghiệp Ông Kèo, xã Phước Khánh, huyện Nhơn Trạch, tỉnh Đồng Nai. Vị trí và quy mô xây dựng cầu cảng chuyên dùng theo quy định tại văn bản số 671/CHHVN-KHĐT ngày 20 tháng 5 năm 2004 của Cục Hàng hải Việt Nam."
610,TỔNG CÔNG TY DƯỢC VIỆT NAM - CTCP,VIETNAM PHARMACEUTICAL CORPORATION,VINAPHARM,0100109385,"Số 12, phố Ngô Tất Tố, Phường Văn Miếu, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","LÊ VĂN SƠN
Ngoài ra LÊ VĂN SƠN còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN DƯỢC PHẨM TRUNG ƯƠNG 2",+844 3 8443151,2011-01-27,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn đồ dùng khác cho gia đình
- Chi tiết: Doanh nghiệp bán buôn thuốc; Bán buôn nước hoa, hàng mỹ phẩm và chế phẩm vệ sinh (trừ các loại mỹ phẩm có hại cho sức khỏe con người);"
611,CÔNG TY TNHH URC VIỆT NAM,URC VIETNAM COMPANY LIMITED,,3700549827,"Số 42 VSIP Đại lộ Tự Do, Khu công nghiệp Việt Nam-Singapore, Phường An Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",JEAN PIERRE SANCHEZ GAMBOA,Bị ẩn theo yêu cầu người dùng,2007-12-24,Cục Thuế Tỉnh Bình Dương,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất đồ uống không cồn, nước khoáng
Chi tiết: Gia công, sản suất các loại nước uống không cồn, các loại nước ngọt; nước trái cây, hoa quả, nước bổ dưỡng, nước thực phẩm bổ sung, sữa đậu nành. các loại thức uống dạng bột và dạng pha sẵn như: cà phê, bột kem không sữa, thức uống sô cô la, thức uống ngũ cốc và các sản phẩm có liên quan khác Sản xuất nước trái cây, hoa quả, nước bổ dưỡng, nước thực phẩm bổ sung Sản xuất sữa đậu nành. Sản suất các loại thức uống dạng bột và dạng pha sẵn như: cà phê, bột kem không sữa, thức uống sô cô la, thức uống ngũ cốc và các sản phẩm có liên quan khác"
612,CÔNG TY TNHH MỘT THÀNH VIÊN HERBALIFE VIỆT NAM,HERBALIFE VIETNAM SINGLE MEMBER LIMITED LIABILITY COMPANY,HERBALIFE VIETNAM SMLLC.,0309069208,"Số 26 đường Trần Cao Vân, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","VŨ VĂN THẮNG
Ngoài ra VŨ VĂN THẮNG còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN HERBALIFE VIỆT NAM
CTY TNHH MỘT THÀNH VIÊN HERBALIFE VIỆT NAM (NTNN)
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN HERBALIFE VIỆT NAM TẠI ĐÀ NẴNG
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MỘT THÀNH VIÊN HERBALIFE VIỆT NAM TẠI HẢI PHÒNG
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MỘT THÀNH VIÊN HERBALIFE VIỆT NAM TẠI NGHỆ AN
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MỘT THÀNH VIÊN HERBALIFE VIỆT NAM TẠI PHÚ THỌ",(84-8) 3827 9191,2009-06-15,Cục Thuế Thành phố Hồ Chí Minh,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán lẻ hình thức khác chưa được phân vào đâu
613,TỔNG CÔNG TY CỔ PHẦN PHÁT TRIỂN KHU CÔNG NGHIỆP,SONADEZI CORPORATION,TỔNG CÔNG TY SONADEZI,3600335363,"Số 1, đường 1, KCN Biên Hòa 1, Phường An Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",TRẦN THANH HẢI,02518860561/0251886,2010-07-01,Cục Thuế Tỉnh Đồng Nai,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Xây dựng nhà để ở
614,CÔNG TY CỔ PHẦN VIỆT NAM KỸ NGHỆ SÚC SẢN,VISSAN JOINT STOCK COMPANY,CÔNG TY VISSAN,0300105356,"420 Nơ Trang Long, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",NGUYỄN NGỌC AN,(84 28) 3553 3999 -,2006-10-11,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thực phẩm
Chi tiết: Kinh doanh thịt heo, thịt trâu bò, thịt gia cầm, hải sản, thịt chế biến, thịt hộp, trứng gà, vịt. Kinh doanh heo giống, heo thịt, bò giống, bò thịt. Bán buôn rau, quả; bán buôn chè; Bán buôn đường (không hoạt động tại trụ sở). Bán buôn cà phê; Bán buôn sữa và các sản phẩm sữa, bánh kẹo, mứt, bột, tinh bột; Bán buôn các loại gia vị, phụ gia thực phẩm; Bán buôn chả giò chay, xôi chiên (thực hiện theo quyết định 64/2009/QĐ-UBND ngày 31/07/2009 và quyết định số 79/2009/QĐ-UBND ngày 17/10/2009 của Ủy ban nhân dân TP. Hồ Chí Minh về quy hoạch kinh doanh nông sản, thực phẩm tại TP. Hồ Chí Minh)"
615,NGÂN HÀNG TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HSBC (VIỆT NAM),HSBC Bank (Viet Nam) Ltd,HSBC,0301232798,"Tầng 1, 2, 6 Tòa nhà Metropolitan, 235 Đồng Khởi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",TIMOTHY MARK REDVERS EVANS,Bị ẩn theo yêu cầu người dùng,2008-09-23,Cục Thuế Thành phố Hồ Chí Minh,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Hoạt động trung gian tiền tệ khác
Chi tiết: -Huy động vốn: Nhận tiền gửi của các tổ chức, cá nhân và các tổ chức khác dưới các hình thức tiền gửi không kỳ hạn, tiền gửi có kỳ hạn và các loại tiền gửi khác; Phát hành giấy tờ có giá; Vay vốn ngắn hạn của các tổ chức tín dụng khác hoạt động tại Việt Nam và của các tổ chức tín dụng nước ngoài; Vay vốn ngắn hạn của Ngân hàng Nhà nước dưới hình thức tái cấp vốn. -Hoạt động tín dụng: Cho vay; Chiết khấu thương phiếu và giấy tờ có giá khác; Bảo lãnh; Cấp tín dụng dưới các hình thức khác theo quy định của Ngân hàng Nhà nước. -Dịch vụ thanh toán và ngân quỹ: Mở tài khoản tiền gửi tại Ngân hàng Nhà nước, tại các tổ chức tín dụng khác; Cung ứng các phương tiện thanh toán; Thực hiện các dịch vụ thu hộ và chi hộ; Thực hiện dịch vụ thu và phát tiền mặt cho khách hàng; Tổ chức hệ thống thanh toán nội bộ và tham gia hệ thống thanh toán liên ngân hàng trong nước. -Các hoạt động khác: Góp vốn, mua cổ phần của các tổ chức tín dụng và các doanh nghiệp khác theo quy định của pháp luật; Tham gia thị trưởng tiền tệ do Ngân hàng Nhà nước tổ chức; Thực hiện kinh doanh vàng; ủy thác, nhận ủy thác, làm đại lý trong các lĩnh vực liên quan đến hoạt động ngân hàng, kể cả việc quản lý tài sản, vốn đầu tư của tổ chức, cá nhân theo hợp đồng; Cung ứng các dịch vụ bảo hiểm theo quy định của pháp luật. Cung ứng các dịch vụ tư vấn tài chính, tiền tệ phù hợp với chức năng hoạt động của Ngân hàng; Cung ứng dịch vụ bảo quản hiện vật quý, giấy tờ có giá, cho thuê tủ két, cầm đồ và các dịch vụ khác theo quy định của pháp luật. -Mua, bán trái phiếu Chính phủ bằng đồng Việt Nam và bằng ngoại tệ trên thị trường trong nước. Mua, bán trái phiếu doanh nghiệp bằng đồng Việt Nam trên thị trường trong nước. -Kinh doanh, cung ứng sản phẩm phát sinh lãi suất; -Thực hiện hoạt động kinh doanh, cung ứng dịch vụ ngoại hối trên thị trường trong nước và trên thị trường quốc tế trong phạm vi do Ngân hàng Nhà nước quy định. -Lưu ký chứng khoán"
616,CÔNG TY CỔ PHẦN GIAO NHẬN TOÀN CẦU DHL (VIỆT NAM),DHL GLOBAL FORWARDING (VIETNAM) CORPORATION,DHL,0305707643,"Số 364 đường Cộng Hòa, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam","LAURENCE CHEUNG
Ngoài ra LAURENCE CHEUNG còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY CỔ PHẦN GIAO NHẬN TOÀN CẦU DHL (VIỆT NAM)",08 38123 888,2008-05-06,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải
617,CÔNG TY TNHH LE LONG VIỆT NAM,LE LONG VIET NAM COMPANY LIMITED,"LE LONG VIETNAM CO., LTD",1100102656,"Số 40, đường Bà Chánh Thâu, khu phố 2, Thị Trấn Bến Lức, Huyện Bến Lức, Tỉnh Long An, Việt Nam",LEE JUI CHUN,0723779666,2008-06-30,Cục Thuế Tỉnh Long An,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất pin và ắc quy
Chi tiết: Sản xuất, gia công, lắp đặt, bảo trì và sửa chữa các thiết bị pin, ắc quy gia dụng và công nghiệp; sản xuất, lắp ráp thiết bị sạc điện cho bình ắc quy."
618,TỔNG CÔNG TY CÔNG NGHIỆP MỎ VIỆT BẮC TKV - CTCP,VINACOMIN - VIET BAC MINING INDUSTRY HOLDING CORPORATION,VVMI,0100100015,"Số 1, Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",TRỊNH HỒNG NGÂN ( sinh năm 1974 - Hưng Yên) Ẩn thông tin,0436647515,2006-01-23,Cục thuế Doanh nghiệp lớn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Khai thác và thu gom than cứng
619,CÔNG TY TÔN PHƯƠNG NAM,"SOUTHERN STEEL SHEET CO., LTD",SSSC,3600236891,"Đường số 9, KCN Biên Hòa I, Phường An Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam","LÊ VIỆTLOH MENG KIATKEIJIRO YAMAMOTO
Ngoài ra LÊ VIỆTLOH MENG KIATKEIJIRO YAMAMOTO còn đại diện các doanh nghiệp:
CÔNG TY TÔN PHƯƠNG NAM",0613836457,1995-06-09,Cục Thuế Tỉnh Đồng Nai,Doanh nghiệp nhà nước liên doanh với nước ngoài,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sản phẩm từ kim loại đúc sẵn (trừ máy móc, thiết bị)"
620,CÔNG TY CỔ PHẦN CÔNG NGHIỆP CAO SU MIỀN NAM,THE SOUTHERN RUBBER INDUSTRY JOINT STOCK COMPANY,CASUMINA,0300419930,"180 Nguyễn Thị Minh Khai , Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","PHẠM HỒNG PHÚ
Ngoài ra PHẠM HỒNG PHÚ còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY CỔ PHẦN CÔNG NGHIỆP CAO SU MIỀN NAM - XÍ NGHIỆP CAO SU HÓC MÔN
CHI NHÁNH CÔNG TY CỔ PHẦN CÔNG NGHIỆP CAO SU MIỀN NAM - XÍ NGHIỆP CAO SU BÌNH LỢI
XƯỞNG II SẢN XUẤT - XÍ NGHIỆP CAO SU ĐỒNG NAI (CASUMINA ĐỒNG NAI) - CHI NHÁNH CÔNG TY CỔ PHẦN CÔNG N",8489303122,2006-03-01,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Sản xuất plastic và cao su tổng hợp dạng nguyên sinh
621,CTY TNHH BẢO HIỂM NHÂN THỌ CHUBB VIỆT NAM,,,0303845969,115 Nguyễn Huệ #21 Sun Wah - - Quận 1 - TP Hồ Chí Minh.,"Nguyễn Hồng Sơn
Ngoài ra Nguyễn Hồng Sơn còn đại diện các doanh nghiệp:
CTY TNHH BẢO HIỂM NHÂN THỌ ACE (NTNN)
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MASTER COMMERCIAL",8278989,,Cục Thuế Thành phố Hồ Chí Minh,Doanh nghiệp 100% vốn đầu tư nước ngoài,Đang hoạt động (đã được cấp GCN ĐKT),
622,CÔNG TY TNHH MỘT THÀNH VIÊN XI MĂNG VICEM HOÀNG THẠCH,VICEM HOANG THACH CEMENT COMPANY LIMITED,CÔNG TY XI MĂNG VICEM HOÀNG THẠCH,0800004797,"Khu Bích Nhôi 2, Phường Minh Tân, Thị xã Kinh Môn, Tỉnh Hải Dương, Việt Nam",LÊ XUÂN KHÔI,02203821092,2011-07-01,Cục Thuế Tỉnh Hải Dương,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất xi măng, vôi và thạch cao"
623,TỔNG CÔNG TY IDICO - CTCP,IDICO CORPORATION - JSC,IDICO,0302177966,"151A Nguyễn Đình Chiểu, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",ĐẶNG CHÍNH TRUNG ( sinh năm 1959 - Nghệ An) Ẩn thông tin,028 3843 8883,2010-06-30,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê"
624,CÔNG TY CỔ PHẦN CÁP ĐIỆN THỊNH PHÁT,THINH PHAT CABLES JOINT STOCK COMPANY,THIPHA CABLES,0315767095,"51 đường B4, Phường An Lợi Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",KOSIT PUGASAB,02838253604,2019-07-01,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất dây, cáp điện và điện tử khác"
625,CÔNG TY TRÁCH NHIỆM HỮU HẠN GROBEST INDUSTRIAL (VIỆT NAM),"GROBEST INDUSTRIAL (VIETNAM) CO., LTD",GROBEST VN,3600456424,"Số 9, đường 3A, KCN Biên Hòa 2, Phường Long Bình Tân, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam","PHẠM HẢI VĂN ( sinh năm 1968 - Hà Nội) Ẩn thông tin
Ngoài ra PHẠM HẢI VĂN còn đại diện các doanh nghiệp:
CÔNG TY TNHH GROBEST LANDFOUND
CÔNG TY TNHH GROBEST INDUSTRIAL (VIỆT NAM)
CÔNG TY TNHH GROBEST LANDFOUND
CTY TNHH GROBEST &I- MEI INDUSTRIAL (VIỆT NAM )
CÔNG TY TNHH GIỐNG THỦY SẢN GROBEST (VN) (NỘP HỘ THUẾ NHÀ THẦU)
CÔNG TY TNHH GIỐNG THỦY SẢN GROBEST (VN)",0251-3993511,2000-04-12,Cục Thuế Tỉnh Đồng Nai,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản
Chi tiết: Sản xuất thức ăn cho tôm, cá"
626,CÔNG TY CỔ PHẦN MONDELEZ KINH ĐÔ VIỆT NAM,MONDELEZ KINH DO VIET NAM JOINT STOCK COMPANY,MONDELEZ KINH ĐÔ,3700599641,"Số 26 VSIP, đường số 8, Khu công nghiệp Việt Nam-Singapore, Phường Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",ANIL VISWANATHAN,Bị ẩn theo yêu cầu người dùng,2015-06-30,Cục Thuế Tỉnh Bình Dương,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Sản xuất các loại bánh từ bột
627,TỔNG CÔNG TY MÁY ĐỘNG LỰC VÀ MÁY NÔNG NGHIỆP VIỆT NAM - CTCP,VIETNAM ENGINE AND AGRICULTURAL MACHINERY CORPORATION,VEAM,0100103866,"Lô D, Khu D1, Phường Phú Thượng, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam","PHAN PHẠM HÀ
Ngoài ra PHAN PHẠM HÀ còn đại diện các doanh nghiệp:
CÔNG TY TNHH MỘT THÀNH VIÊN CƠ KHÍ HÀ NỘI",024 62800802,2010-10-06,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Sản xuất máy nông nghiệp và lâm nghiệp
628,CÔNG TY CỔ PHẦN DINH DƯỠNG NÔNG NGHIỆP QUỐC TẾ,AGRO NUTRITION INTERNATIONAL JOINT STOCK COMPANY,ANCO JSC,3600618918,"Lô A4, đường số 4, KCN Sông Mây, Xã Bắc Sơn, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",JOHAN CHRISTIAAN VAN DEN BAN,0251 3968 175,2008-12-17,Cục Thuế Tỉnh Đồng Nai,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản
Chi tiết: Sản xuất, chế biên, gia công các sản phẩm thức ăn gia súc, gia cầm và thủy sản"
629,CÔNG TY CỔ PHẦN ĐIỆN LỰC KHÁNH HÒA,KHANH HOA POWER JOINT-STOCK COMPANY,KHPC,4200601069,"11 Lý Thánh Tôn, Phường Vạn Thạnh, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam","NGUYỄN HẢI ĐỨC
Ngoài ra NGUYỄN HẢI ĐỨC còn đại diện các doanh nghiệp:
CÔNG TY CP ĐIỆN LỰC KHÁNH HÒA (NỘP HỘ NHÀ THẦU)",0258 2220220,2005-06-30,Cục Thuế Tỉnh Khánh Hoà,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Sản xuất điện
630,CÔNG TY TNHH THƯƠNG MẠI CARLSBERG VIỆT NAM,CARLSBERG VIETNAM TRADING LIMITED,CARLSBERG VIETNAM TRADING LTD,0102314245,"Tầng 8, Tòa nhà BIDV, 41 Hùng Vương, Phường Phú Hội, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",ANTONIUS JOHANNES ROMBOUTS,054 3850164,2013-11-29,Cục Thuế Tỉnh TT-Huế,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn đồ uống
Chi tiết: Thực hiện quyền nhập khẩu và quyền phân phối bán buôn (không thành lập cơ sở bán buôn) các sản phẩm bia và đồ uống không có cồn do các công ty có vốn đầu tư của Tập đoàn Carlsberg sản xuất có mã HS 2201, 2202 và 2203 quy định tại Danh mục hàng hóa xuất nhập khẩu Việt Nam do Bộ Tài chính ban hành (không bao gồm bán buôn các loại rượu)."
631,CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN HD SAISON,"HD SAISON FINANCE CO.,LTD",HD SAISON,0304990133,"Lầu 8,9,10 Tòa nhà Gilimex, số 24C đường Phan Đăng Lưu, Phường 6, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",NGUYỄN HỮU NHÂN,Bị ẩn theo yêu cầu người dùng,2007-07-13,Cục Thuế Thành phố Hồ Chí Minh,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động trung gian tiền tệ khác
632,TỔNG CÔNG TY CÔNG NGHIỆP SÀI GÒN - TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN,SAIGON INDUSTRY CORPORATION,CNS,0300713668,"58-60 Nguyễn Tất Thành, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN PHƯƠNG ĐÔNG
Ngoài ra NGUYỄN PHƯƠNG ĐÔNG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY CÔNG NGHIỆP SÀI GÒN - TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN (NTNN)",0838255999,2010-08-27,Cục Thuế Thành phố Hồ Chí Minh,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Sản xuất sản phẩm thuốc lá
633,CÔNG TY CỔ PHẦN DƯỢC HẬU GIANG,DHG PHARMACEUTICAL JOINT-STOCK COMPANY,DHG PHARMA,1800156801,"288 Bis, Nguyễn Văn Cừ, Phường An Hòa, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam",MASASHI NAKAURA,Bị ẩn theo yêu cầu người dùng,2004-09-15,Cục Thuế Thành phố Cần Thơ,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất thuốc, hoá dược và dược liệu
Chi tiết: Sản xuất thuốc, hóa dược, dược liệu và nguyên liệu làm thuốc."
634,CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN XỔ SỐ KIẾN THIẾT CẦN THƠ,,XỔ SỐ KIẾN THIẾT THÀNH PHỐ CẦN THƠ,1800157562,"29, Cách Mạng Tháng Tám, Phường Thới Bình, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam","TRẦN MINH TÂM ( sinh năm 1970 - Cần Thơ) Ẩn thông tin
Ngoài ra TRẦN MINH TÂM còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN XỔ SỐ KIẾN THIẾT CẦN THƠ - NHÀ KHÁCH - TRẠM GIAO DỊCH VÉ SỐ KIẾN THIẾT CẦN THƠ",02923822127 - 0292,2008-11-25,Cục Thuế Thành phố Cần Thơ,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Hoạt động xổ số, cá cược và đánh bạc"
635,CÔNG TY TNHH TOTO VIỆT NAM,"TOTO VIETNAM CO., LTD",,0101225306,"Lô F-1, F-2, F-3, F-4, Khu Công nghiệp Thăng Long, Xã Kim Chung, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",ASADA KYOJI,02438811926,2008-12-30,Cục Thuế Thành phố Hà Nội,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sản phẩm gốm sứ khác
Chi tiết: Sản xuất, tiêu thụ, xuất khẩu các thiết bị vệ sinh và các phụ kiện liên quan đến thiết bị vệ sinh; Tinh luyện và xuất khẩu các vật liệu thô dùng cho sản xuất các thiết bị vệ sinh."
636,CÔNG TY CỔ PHẦN CÁN THÉP THÁI TRUNG,THAI TRUNG ROOLING JOINT STOCK COMPANY,TTR.JSC,4600451322,"Tổ 13, Phường Cam Giá, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam","TRẦN TUẤN ( sinh năm 1967 - Thái Nguyên) Ẩn thông tin
Ngoài ra TRẦN TUẤN còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN CÁN THÉP THÁI TRUNG",02083735690,2008-08-29,Cục Thuế Tỉnh Thái Nguyên,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sắt, thép, gang
(sản xuất thép);"
