,Company,MST,NGANH_NGHE,doanh_thu_2021,tinh
152,CÔNG TY CP DÂY VÀ CÁP ĐIỆN THƯỢNG ĐÌNH,0100892628,"Sản xuất, kinh doanh thiết bị điện",,Hà Nội
153,CÔNG TY TNHH XUÂN LỘC THỌ,0100736347,"Sản xuất, kinh doanh thiết bị điện",,Hà Nội
154,CÔNG TY CP TẬP ĐOÀN PHƯỢNG HOÀNG XANH A&A,0104961939,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nội
155,CÔNG TY CP THƯƠNG NGHIỆP CÀ MAU,2000110221,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông","3,861,507",Cà Mau
156,NGÂN HÀNG TMCP KIÊN LONG,1700197787,Ngân hàng,"1,930,960",Kiên Giang
157,CÔNG TY CP TẬP ĐOÀN HƯNG THỊNH,0305410561,Kinh doanh bất động sản,,TP Hồ Chí Minh
158,CÔNG TY CP THÉP VIỆT Ý,0900222647,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Hưng Yên
159,CÔNG TY CP TẬP ĐOÀN IPC,0102055583,"Kinh doanh kim loại, sắt thép, kim khí…",,Hà Nội
160,CÔNG TY CP AN TIẾN INDUSTRIES,5200466372,Hoạt động công nghiệp khác,"8,265,252",Yên Bái
161,CÔNG TY CP TẬP ĐOÀN THÉP TIẾN LÊN,3600512830,"Kinh doanh kim loại, sắt thép, kim khí…","4,644,781",Đồng Nai
162,CÔNG TY CP ABC VIỆT NAM,0900254448,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Hưng Yên
163,CÔNG TY CP ĐẦU TƯ PHAN VŨ,0302217087,"Sản xuất, kinh doanh vật liệu xây dựng",,TP Hồ Chí Minh
164,TỔNG CÔNG TY MAY NHÀ BÈ - CTCP,0300398889,"Sản xuất, kinh doanh trang phục","3,081,071",TP Hồ Chí Minh
165,CÔNG TY TNHH KẾT CẤU THÉP 568,0900273306,"Kinh doanh kim loại, sắt thép, kim khí…",,Hưng Yên
166,TỔNG CÔNG TY CP BẢO MINH,0300446973,Bảo hiểm,"3,768,684",Thái Bình
167,CÔNG TY CP CHỨNG KHOÁN VPS,0104979904,Chứng khoán,,Hà Nội
168,CÔNG TY CP THUẬN HẢI,0305601319,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,TP Hồ Chí Minh
169,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ THÀNH TÍN,2200208834,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,Sóc Trăng
170,CÔNG TY CP PHÁT TRIỂN BẤT ĐỘNG SẢN PHÁT ĐẠT,0303493756,Kinh doanh bất động sản,,TP Hồ Chí Minh
171,CÔNG TY CP GỖ AN CƯỜNG,3700748131,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,Bình Dương
172,CÔNG TY CP LIZEN,0302310209,Xây dựng,"1,802,654",TP Hồ Chí Minh
173,CÔNG TY CP MAY SÔNG HỒNG,0600333307,"Sản xuất, kinh doanh trang phục","4,747,623",Nam Định
174,CÔNG TY CP TẬP ĐOÀN SUNHOUSE,0101976905,"Sản xuất, kinh doanh đồ dùng gia đình",,Điện Biên
175,CÔNG TY TNHH THỨC ĂN GIA SÚC LÁI THIÊU,3700149709,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Bình Dương
176,CÔNG TY CP ĐẦU TƯ TỔNG HỢP HÀ NỘI,0102287094,Kinh doanh bất động sản,"3,745,725",Hà Nội
177,CÔNG TY CP PHÚC SINH,0302401061,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,TP Hồ Chí Minh
178,CÔNG TY CP THỰC PHẨM Á CHÂU,3700150020,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,Bình Dương
179,CÔNG TY CP CÔNG NGHỆ VÀ DỊCH VỤ IMEDIA,0105837941,Viễn thông,,Hà Nội
180,CÔNG TY TNHH TẬP ĐOÀN BIM - BIM GROUP,5700103433,Kinh doanh bất động sản,,Quảng Ninh
181,CÔNG TY CP TẬP ĐOÀN VITTO,2500578360,"Sản xuất, kinh doanh vật liệu xây dựng",,Vĩnh Phúc
182,CÔNG TY CP CASPER VIỆT NAM,0107009894,"Sản xuất, kinh doanh thiết bị điện",,Hà Nội
183,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI MINH NGỌC,0900237146,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Hưng Yên
184,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ DẦU KHÍ HẢI PHÁT,3603262480,Kinh doanh xăng dầu và các sản phẩm liên quan,,Đồng Nai
185,CÔNG TY CP DATVIET VAC GROUP HOLDINGS,0315744468,Quảng cáo và nghiên cứu thị trường,,TP Hồ Chí Minh
186,CÔNG TY TNHH THƯƠNG MẠI-DỊCH VỤ-XUẤT NHẬP KHẨU TƯỜNG NGUYÊN,1400683063,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,Đồng Tháp
187,CÔNG TY CP ĐẦU TƯ NĂM BẢY BẢY,0303885305,Kinh doanh bất động sản,"565,232",TP Hồ Chí Minh
188,CÔNG TY CP NHỰA ĐỒNG NAI,3600662561,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Đồng Nai
189,CÔNG TY CP SẢN XUẤT KINH DOANH XUẤT NHẬP KHẨU BÌNH THẠNH,0302181666,Hoạt động công nghiệp khác,"4,150,320",TP Hồ Chí Minh
