Company,CEO,MST,NGANH_NGHE,doanh_thu_2020,doanh_thu_2021,tinh
CÔNG TY CP THƯƠNG MẠI DỊCH VỤ THIÊN NAM HOÀ,Nguyễn Trần Thảo Nguyên,0302429934,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
CÔNG TY TNHH XE ĐIỆN XE MÁY DETECH,Đinh Văn Bắc,0900189171,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hưng Yên
CÔNG TY CỔ PHẦN ĐẦU TƯ EVERLAND,Nguyễn Thúc Cẩn,0104228175,Kinh doanh bất động sản,"768,476","968,373",Hà Nội
CÔNG TY TNHH NHỰA LONG THÀNH,Phạm Văn Mười,0301275199,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,TP Hồ Chí Minh
CÔNG TY TNHH DINH DƯỠNG QUỐC TẾ VIỆT ĐỨC,Phạm Trần Sum,0102075540,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Hà Nội
CÔNG TY CP TỔNG CÔNG TY XÂY DỰNG THĂNG LONG,Nguyễn Đức Kiên,0100105020,Xây dựng,"729,618","1,262,499",Hà Nội
CÔNG TY TNHH BẢO TÍN MINH CHÂU,Vũ Minh Châu,0100683952,"Bán lẻ vàng, bạc và kim loại quý khác",,,Hà Nội
CÔNG TY TNHH THƯƠNG MẠI THÉP ĐẠI TOÀN THẮNG,Đoàn Danh Hồng,0301893928,"Kinh doanh kim loại, sắt thép, kim khí…",,,TP Hồ Chí Minh
CÔNG TY CP TÔ THÀNH PHÁT,Lý Nguyệt Anh,0301521415,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
CÔNG TY CP THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM,Ngô Hữu Tiệp,0106300187,Xây dựng,,,Hà Nội
CÔNG TY CP SẢN XUẤT THƯƠNG MẠI SÀI GÒN,Nguyễn Thành Vinh,0302776127,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
CÔNG TY CP IN VÀ BAO BÌ MỸ CHÂU,Trịnh Hữu Minh,0301671386,Hoạt động công nghiệp khác,"688,443","431,298",TP Hồ Chí Minh
CÔNG TY CỔ PHẦN MẠC TÍCH,Dương Quốc Bảo,0301096513,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Đồng Nai
CÔNG TY TNHH XÂY DỰNG CÔNG TRÌNH HÙNG VƯƠNG,Nguyễn Anh Tài,0301115156,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
CÔNG TY TNHH ONPOINT,Trần Vũ Quang,0314709816,Bán lẻ khác,,,TP Hồ Chí Minh
CÔNG TY TNHH SAMSUNG ELECTRONICS VIỆT NAM THÁI NGUYÊN,Kim Dongwook,4601124536,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Thái Nguyên
TẬP ĐOÀN ĐIỆN LỰC VIỆT NAM,Trần Đình Nhân,0100100079,"Sản xuất, truyền tải, phân phối điện",,,Hà Nội
TẬP ĐOÀN DẦU KHÍ VIỆT NAM,Lê Mạnh Hùng,0100681592,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ",,,Hà Nội
TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Tào Đức Thắng,0100109106,Viễn thông,"113,026","136,096",Hà Nội
NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM,Tiết Văn Thành,0100686174,Ngân hàng,,,Hà Nội
TẬP ĐOÀN XĂNG DẦU VIỆT NAM,Phạm Đức Thắng,0100107370,Kinh doanh xăng dầu và các sản phẩm liên quan,"123,918,650","169,008,605",Hà Nội
NGÂN HÀNG TMCP ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM,Lê Ngọc Lâm,0100150619,Ngân hàng,,,Hà Nội
