Company,CEO,MST,NGANH_NGHE,doanh_thu_2020,doanh_thu_2021,tinh
TỔNG CÔNG TY CP VẬN TẢI DẦU KHÍ,Nguyễn Duyên Hiếu,0302743192,Vận tải đường biển,"7,382,694","7,460,234",TP Hồ Chí Minh
CÔNG TY CP PHÂN PHỐI KHÍ THẤP ÁP DẦU KHÍ VIỆT NAM,Trần Thanh Nam,0304998686,Kinh doanh xăng dầu và các sản phẩm liên quan,"7,526,764","8,996,080",TP Hồ Chí Minh
CÔNG TY CP HỮU HẠN VEDAN VIỆT NAM,Yang Kun Hsiang,3600239719,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,Đồng Nai
CÔNG TY TNHH AEON VIỆT NAM,Yasuo Nishitohge,0311241512,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
CÔNG TY CP GIAO HÀNG TIẾT KIỆM,Phạm Hồng Quân,0106181807,"Bưu chính, chuyển phát",,,Hà Nội
CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,Berend van Wel,3700229344,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa",,,Bình Dương
TỔNG CÔNG TY KHÁNH VIỆT,Lê Tiến Anh,4200486169,"Sản xuất, chế biến và kinh doanh thuốc lá",,,Khánh Hòa
TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,Phạm Ngọc Thuận,3700145020,Kinh doanh bất động sản,"6,504,738","6,989,749",Bình Dương
CÔNG TY TNHH KIMBERLY CLARK VIỆT NAM,Kate Good Man,0100114522,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,,Bình Dương
CÔNG TY TNHH FURUKAWA AUTOMOTIVE PARTS (VIETNAM),Morishima Takao,0300797153,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN NHÀ VÀ ĐÔ THỊ (HUD),Nguyễn Đức Hùng,0100106144,Kinh doanh bất động sản,,,Hà Nội
TỔNG CÔNG TY CP CÔNG TRÌNH VIETTEL,Phạm Đình Trường,0104753865,Hoạt động xây dựng khác,"6,359,187","7,446,888",Hà Nội
TỔNG CÔNG TY SÔNG ĐÀ - CTCP,Hồ Văn Dũng,0100105870,Xây dựng,"883,327","1,559,852",Hà Nội
CÔNG TY TNHH EXPEDITORS VIỆT NAM,Michael Joseph Mooney,0312545104,Vận tải đường biển,,,TP Hồ Chí Minh
CÔNG TY CP TETRA PAK VIỆT NAM,Fehmi Nejat Caliskan,0302803331,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,TP Hồ Chí Minh
TỔNG CÔNG TY LẮP MÁY VIỆT NAM-CÔNG TY TNHH MTV,Lê Văn Tuấn,0100106313,Xây dựng,"6,060,290","3,826,142",Hà Nội
CÔNG TY CP KIM LOẠI MÀU VÀ NHỰA ĐỒNG VIỆT,Chinawat Assavapokee,0309174756,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,TP Hồ Chí Minh
CÔNG TY CP ĐIỆN LỰC DẦU KHÍ NHƠN TRẠCH 2,Ngô Đức Nhân,3600897316,"Sản xuất, truyền tải, phân phối điện","6,082,248","6,149,584",Đồng Nai
TỔNG CÔNG TY CẤP NƯỚC SÀI GÒN - TNHH MTV,Hồ Văn Lâm,0301129367,"Cung cấp, kinh doanh nước",,,TP Hồ Chí Minh
CÔNG TY TNHH THỰC PHẨM ORION VINA,Kang Weon Kee,3700667933,"Sản xuất, chế biến và kinh doanh bánh kẹo",,,Bình Dương
CÔNG TY CP THƯƠNG MẠI KIÊN GIANG,Phạm Văn Hoàng,1700523208,Kinh doanh xăng dầu và các sản phẩm liên quan,"5,717,954","5,675,011",Kiên Giang
TỔNG CÔNG TY CƠ KHÍ GIAO THÔNG VẬN TẢI SÀI GÒN - TNHH MTV,Trần Quốc Toản,0300481551,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,TP Hồ Chí Minh
TỔNG CÔNG TY HÓA DẦU PETROLIMEX - CTCP,Lê Quang Tuấn,0101463614,Kinh doanh xăng dầu và các sản phẩm liên quan,"5,608,435","6,868,374",Hà Nội
CÔNG TY LIÊN DOANH SẢN XUẤT THÉP VINAUSTEEL,Trần Tuấn Anh,0200108811,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hải Phòng
CÔNG TY TNHH THƯƠNG MẠI KHATOCO,Nguyễn Đình Thạch,4200485207,"Sản xuất, chế biến và kinh doanh thuốc lá",,,Khánh Hòa
CÔNG TY CP PHÂN BÓN BÌNH ĐIỀN,Ngô Văn Đông,0302975517,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","5,418,393","7,742,796",TP Hồ Chí Minh
TỔNG CÔNG TY CP KHOAN VÀ DỊCH VỤ KHOAN DẦU KHÍ,Nguyễn Xuân Cường,0302495126,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","5,228,639","3,995,472",TP Hồ Chí Minh
CÔNG TY TNHH SIAM CITY CEMENT (VIETNAM) (INSEE),Philippe Bernard Richart,0300608568,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
TỔNG CÔNG TY DƯỢC VIỆT NAM - CTCP,Đinh Xuân Hấn,0100109385,"Kinh doanh, phân phối dược phẩm, thiết bị y tế","5,311,210","4,873,577",Hà Nội
CÔNG TY TNHH URC VIỆT NAM,Mr.Jean-Pierre “Jai” Gamboa,3700549827,"Sản xuất, chế biến và kinh doanh bánh kẹo",,,Bình Dương
CÔNG TY TNHH MTV HERBALIFE VIỆT NAM,Vũ Văn Thắng,0309069208,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,TP Hồ Chí Minh
TỔNG CÔNG TY CP PHÁT TRIỂN KHU CÔNG NGHIỆP,Trần Thanh Hải,3600335363,Kinh doanh bất động sản,"4,974,919","5,187,424",Đồng Nai
CÔNG TY CP VIỆT NAM KỸ NGHỆ SÚC SẢN (VISSAN),Nguyễn Ngọc An,0300105356,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh","5,143,547","4,292,766",TP Hồ Chí Minh
NGÂN HÀNG TNHH MTV HSBC (VIỆT NAM),Sumit Dutta,0301232798,Ngân hàng,,,TP Hồ Chí Minh
CÔNG TY CP GIAO NHẬN TOÀN CẦU DHL (VIỆT NAM),Clément Marie Blanc,0305707643,Hoạt động khác hỗ trợ cho vận tải,,,TP Hồ Chí Minh
CÔNG TY TNHH LE LONG VIỆT NAM,Lee Jui Chun,1100102656,"Sản xuất, kinh doanh thiết bị điện",,,Long An
TỔNG CÔNG TY CÔNG NGHIỆP MỎ VIỆT BẮC TKV - CTCP,Bùi Trần Đông,0100100015,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,,Hà Nội
CÔNG TY TÔN PHƯƠNG NAM,Lê Việt,3600236891,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Đồng Nai
CÔNG TY CP CÔNG NGHIỆP CAO SU MIỀN NAM,Phạm Hồng Phú,0300419930,"Sản xuất, kinh doanh cao su và sản phẩm từ cao su","4,692,034","4,839,508",TP Hồ Chí Minh
CÔNG TY TNHH BẢO HIỂM NHÂN THỌ CHUBB VIỆT NAM,Nguyễn Hồng Sơn,0303845969,Bảo hiểm,,,TP Hồ Chí Minh
CÔNG TY TNHH MTV XI MĂNG VICEM HOÀNG THẠCH,Lê Xuân Khôi,0800004797,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hải Dương
TỔNG CÔNG TY IDICO - CTCP,Đặng Chính Trung,0302177966,Xây dựng,"4,541,856","4,301,236",TP Hồ Chí Minh
CÔNG TY CP CÁP ĐIỆN THỊNH PHÁT,Kosit Pugasab,0315767095,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
CÔNG TY TNHH GROBEST INDUSTRIAL (VIỆT NAM),Shen Yen Ling,3600456424,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
CÔNG TY CP MONDELEZ KINH ĐÔ VIỆT NAM,Hemant Kumar Rupani,3700599641,"Sản xuất, chế biến và kinh doanh bánh kẹo",,,TP Hồ Chí Minh
TỔNG CÔNG TY MÁY ĐỘNG LỰC VÀ MÁY NÔNG NGHIỆP VIỆT NAM - CTCP,Trần Ngọc Hà,0100103866,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","3,666,912","4,019,247",Hà Nội
CÔNG TY CP DINH DƯỠNG NÔNG NGHIỆP QUỐC TẾ,Phạm Trung Lâm,3600618918,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
CÔNG TY CP ĐIỆN LỰC KHÁNH HÒA,Nguyễn Cao Ký,4200601069,"Sản xuất, truyền tải, phân phối điện","4,572,888","4,361,399",Khánh Hòa
CÔNG TY TNHH THƯƠNG MẠI CARLSBERG VIỆT NAM,Nathaniel Meredith Moxom,0102314245,"Sản xuất, chế biến và kinh doanh đồ uống có cồn",,,Thừa Thiên Huế
CÔNG TY TÀI CHÍNH TNHH HD SAISON,Nguyễn Hữu Nhân,0304990133,Dịch vụ tài chính khác,,,TP Hồ Chí Minh
TỔNG CÔNG TY CÔNG NGHIỆP SÀI GÒN - TNHH MTV,Nguyễn Phương Đông,0300713668,"Sản xuất, chế biến và kinh doanh thuốc lá",,,TP Hồ Chí Minh
CÔNG TY CP DƯỢC HẬU GIANG,Đoàn Đình Duy Khương,1800156801,"Sản xuất dược phẩm, thiết bị y tế","3,755,619","4,003,170",Cần Thơ
CÔNG TY TNHH NHÀ NƯỚC MTV XỔ SỐ KIẾN THIẾT CẦN THƠ,Đỗ Thanh Bình,1800157562,"Dịch vụ vui chơi, giải trí",,,Cần Thơ
CÔNG TY TNHH TOTO VIỆT NAM,Yamasaki Masao,0101225306,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
CÔNG TY CP CÁN THÉP THÁI TRUNG,Trần Tuấn,4600451322,"Sản xuất, gia công kim loại, sắt thép, kim khí…","4,311,771","6,066,999",Thái Nguyên
CÔNG TY TNHH NHỰA VÀ HÓA CHẤT TPC VINA,Piyapong Jriasetapong,3600248368,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Đồng Nai
CÔNG TY CP TẬP ĐOÀN MAVIN,Đào Mạnh Lương,0900841823,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Hà Nội
CÔNG TY TNHH MTV TỔNG CÔNG TY 28,Đỗ Tuấn Anh,0300516772,"Sản xuất, kinh doanh sợi, sản phẩm dệt",,,TP Hồ Chí Minh
NGÂN HÀNG TNHH MTV STANDARD CHARTERED (VIỆT NAM),Louis Taylor,0103617147,Ngân hàng,,,Hà Nội
CÔNG TY TNHH PHÁT TRIỂN PHÚ MỸ HƯNG,Tseng Fan Chih,0300604002,Kinh doanh bất động sản,,,TP Hồ Chí Minh
CÔNG TY TNHH BẢO HIỂM HANWHA LIFE VIỆT NAM,Hwang Jun Hwan,0305774706,Bảo hiểm,,,TP Hồ Chí Minh
NGÂN HÀNG TNHH INDOVINA,Liu Chun Hao,0300733752,Ngân hàng,,,TP Hồ Chí Minh
CÔNG TY TNHH CÔNG NGHIỆP CHÍNH XÁC VIỆT NAM 1,Chao Wen Hsiang,2500213190,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Vĩnh Phúc
CÔNG TY TNHH LOUIS DREYFUS COMMODITIES VIỆT NAM,Eric Gerard Leleu,5900424466,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,,Gia Lai
TỔNG CÔNG TY TRUYỀN THÔNG (VNPT-MEDIA),Dương Thành Long,0106873188,Viễn thông,,,Hà Nội
CÔNG TY SẢN XUẤT THÉP ÚC SSE,Lâm Văn Hùng,0200373471,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hải Phòng
CÔNG TY TNHH MTV XUẤT NHẬP KHẨU 2/9 ĐẮK LẮK,Lê Tiến Hùng,6000234538,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,Đắk Lắk
CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BẠC LIÊU,Nguyễn Ngọc Thuý,1900135322,"Dịch vụ vui chơi, giải trí",,,Bạc Liêu
CÔNG TY CP THANH TOÁN ĐIỆN TỬ VNPT,Kim Je Hee,0102713659,Hoạt động thông tin khác,,,Hà Nội
CÔNG TY TNHH BẢO HIỂM NHÂN THỌ MB AGEAS,Vũ Hồng Phú,0107520795,Bảo hiểm,,,Hà Nội
CÔNG TY CP PIN ẮC QUY MIỀN NAM,Trần Thanh Văn,0300405462,"Sản xuất, kinh doanh thiết bị điện","965,945","907,737",TP Hồ Chí Minh
CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT SÓC TRĂNG,Lê Văn Khanh,2200108572,"Dịch vụ vui chơi, giải trí",,,Sóc Trăng
CÔNG TY CP TƯ VẤN XÂY DỰNG ĐIỆN 2,Nguyễn Chơn Hùng,0300420157,Dịch vụ khác,"3,346,395","3,629,141",TP Hồ Chí Minh
CÔNG TY TNHH SẢN XUẤT BỘT MỲ VIMAFLOUR,Lim Pang Boon,5700101210,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Quảng Ninh
CÔNG TY TNHH THÉP KYOEI VIỆT NAM,Fukunishi Hidekazu,2700631318,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Ninh Bình
TỔNG CÔNG TY CP DỆT MAY HOÀ THỌ,Nguyễn Đức Trị,0400101556,"Sản xuất, kinh doanh trang phục","3,256,264","3,863,510",Đà Nẵng
CÔNG TY CP VẬT TƯ - TKV,Tạ Quang Tuấn,5700100707,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Quảng Ninh
CÔNG TY TNHH GANG THÉP TUYÊN QUANG,"Zhang, Qun (Trương Quần)",5000230718,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Tuyên Quang
CÔNG TY TNHH NHÀ NƯỚC MTV YẾN SÀO KHÁNH HÒA,Nguyễn Anh Hùng,4200338918,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,Khánh Hòa
CÔNG TY TNHH MTV TỔNG CÔNG TY THÁI SƠN,Phạm Gặp,0300533471,Kinh doanh bất động sản,,,TP Hồ Chí Minh
CÔNG TY TNHH DINH DƯỠNG Á CHÂU (VN),Su Meng Chih,3600233805,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
CÔNG TY CP BỘT GIẶT LIX,Lâm Văn Kiệt,0301444263,"Sản xuất, kinh doanh hóa mỹ phẩm","2,902,193","2,613,003",TP Hồ Chí Minh
TỔNG CÔNG TY CP BẢO HIỂM PETROLIMEX,Đào Nam Hải,0100110768,Bảo hiểm,"2,920,924","3,037,019",Hà Nội
CÔNG TY CP DƯỢC PHẨM TRUNG ƯƠNG CODUPHA,Bùi Hữu Hiền,0300483319,"Kinh doanh, phân phối dược phẩm, thiết bị y tế","2,957,141","2,450,389",TP Hồ Chí Minh
TỔNG CÔNG TY GAS PETROLIMEX - CTCP,Vũ Hồng Khánh,0101447725,Kinh doanh xăng dầu và các sản phẩm liên quan,"2,824,679","3,362,912",Hà Nội
TỔNG CÔNG TY CHĂN NUÔI VIỆT NAM - CTCP,Trịnh Quốc Dũng,0100104443,Chăn nuôi,"2,825,788","2,928,252",Hà Nội
TỔNG CÔNG TY 319,Nguyễn Minh Khiêm,0100108984,Xây dựng,,,Hà Nội
CÔNG TY TNHH MTV APATIT VIỆT NAM,Nguyễn Tiến Cường,5300100276,Khai khoáng khác và kinh doanh các sản phẩm khác từ khai khoáng,,,Lào Cai
CÔNG TY TNHH MTV DƯỢC SÀI GÒN,Lê Việt Hùng,0300523385,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,TP Hồ Chí Minh
CÔNG TY TNHH LIÊN DOANH ỐNG THÉP SENDO,Trương Văn Minh,3502280821,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Bà Rịa - Vũng Tàu
CÔNG TY CP CAO SU PHƯỚC HÒA,Nguyễn Văn Tược,3700147532,Trồng trọt,"1,631,648","1,945,435",Bình Dương
TỔNG CTCP THƯƠNG MẠI XÂY DỰNG,Võ Nhật Thăng,0100203476,Kinh doanh bất động sản,,,Hà Nội
CÔNG TY THƯƠNG MẠI DỊCH VỤ TRÀNG THI,Vũ Trọng Tuấn,0100107437,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
CÔNG TY TNHH TRUYỀN HÌNH CÁP SAIGONTOURIST,Trần Văn Úy,0301463315,"Truyền hình, phát thanh, phim ảnh",,,TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ HAI SÁU SÁU,Nguyễn Thị Hồng Hạnh,0303781761,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,TP Hồ Chí Minh
CÔNG TY TNHH QUỐC TẾ LIÊN DOANH VINACONEX - TAISEI (VINATA),Seiichiro Kuwabara,0100113494,Xây dựng,,,Hà Nội
TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG ĐÔ THỊ UDIC - CÔNG TY TNHH MTV,Nguyễn Minh Quang,0100106232,Xây dựng,,,Hà Nội
TỔNG CÔNG TY VẬN TẢI HÀ NỘI,Nguyễn Thanh Nam,0101148154,Vận tải đường bộ,,,Hà Nội
CÔNG TY TNHH HEWLETT - PACKARD VIỆT NAM,Trần Thị Minh Thuận,0300539709,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,TP Hồ Chí Minh
CÔNG TY TNHH MIWON VIỆT NAM,Shin Sangho,2600109933,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,Phú Thọ
CÔNG TY CP THÉP TOP PRO,"Hong, Chung-Cheng",1100798176,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Long An
CÔNG TY TNHH KINH DOANH LỐP XE BRIDGESTONE VIỆT NAM,Hiroyuki Saito,0309875328,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,TP Hồ Chí Minh
CÔNG TY CP LUYỆN KIM TÂN NGUYÊN HẢI DƯƠNG VIỆT NAM,Hồ Dư Khang (Hu YuKang),0800740412,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hải Dương
TỔNG CÔNG TY XÂY DỰNG HÀ NỘI,Đậu Văn Diện,0100106338,Xây dựng,"1,991,733","2,413,517",Hà Nội
CÔNG TY CP CẢNG HẢI PHÒNG,Nguyễn Tường Anh,0200236845,"Kho bãi, bốc xếp hàng hóa","2,030,663","2,284,630",Hải Phòng
CÔNG TY CP PHÁT TRIỂN HẠ TẦNG KỸ THUẬT,Đỗ Quang Ngôn,3700805566,Kinh doanh bất động sản,"2,141,296","2,601,723",Bình Dương
TỔNG CÔNG TY CP BẢO HIỂM NGÂN HÀNG ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM,Trần Hoài An,0100931299,Bảo hiểm,"1,887,816","2,155,107",Hà Nội
CÔNG TY TNHH ROCHDALE SPEARS,Hoàng Yến,3700370643,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,,Bình Dương
CÔNG TY TNHH BACONCO,"Siquet, Pierre Louis Bernard",3500101065,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,Bà Rịa - Vũng Tàu
CÔNG TY CP CÔNG NGHIỆP NHỰA PHÚ LÂM,Huang Cheng Hung,0200109445,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hải Phòng
CÔNG TY TNHH LIÊN DOANH SẢN XUẤT ÔTÔ NGÔI SAO,Ryujiro Kobashi,3700229030,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Bình Dương
TỔNG CÔNG TY GIẤY VIỆT NAM,.,2600357502,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,,Hà Nội
CÔNG TY CP HANACANS,Hidetaka Makabe,2300372796,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Bắc Ninh
